,r,x,phi,psi,A,B,rho_eff,pr_eff,pt_eff,E1,E2,E3,E4,E5,E6
0,1e-05,6.229548746117989e-07,0.0692,0.0,0.9334602546397911,1.0,0.011604217036370532,0.0006618267895609329,0.0006618267895609329,0.011604217036370532,0.010942390246809599,0.010942390246809599,0.012266043825931465,0.012266043825931465,0.01358969740505333
1,0.10003000200040008,0.006231417735357721,0.06917947645784994,-0.00041025550409901513,0.9334708302968828,1.0000193458523083,0.01159754418252444,0.0006613174222234585,0.0006609471554768324,0.01159754418252444,0.01093622676030098,0.010936597027047607,0.012258861604747899,0.012258491338001273,0.013580755915701563
2,0.20005000400080017,0.012462212515840832,0.06911796934920446,-0.0008193645796995293,0.9335025303965515,1.0000773023594216,0.011577556408807806,0.0006597923994243167,0.0006583156394553757,0.011577556408807806,0.01091776400938349,0.010919240769352431,0.012237348808232122,0.012235872048263182,0.013553980087142873
3,0.30007000600120026,0.018693007296323942,0.06901564425716361,-0.0012262697528969625,0.9335552871326585,1.0001736500711276,0.011544337837779837,0.0006572603150522209,0.0006539532411840539,0.011544337837779837,0.010887077522727617,0.010890384596595783,0.012201598152832057,0.012198291078963891,0.013509504635200165
4,0.40009000800160033,0.024923802076807052,0.06887277601786103,-0.0016298860052351254,0.9336289878903996,1.0003080248073895,0.011498027907222355,0.0006537353856131004,0.0006478946219093632,0.011498027907222355,0.010844292521609254,0.010850133285312992,0.012151763292835457,0.01214592252913172,0.013447552536654183
5,0.5001100100020004,0.03115459685729016,0.06868974704225878,-0.0020291483664061135,0.9337234758303763,1.0004799199850687,0.011438820236597194,0.0006492372929048462,0.0006401876064356343,0.011438820236597194,0.010789582943692347,0.010798632630161559,0.01208805752950204,0.012079007843032829,0.013368432742373308
6,0.6001300120024005,0.03738539163777327,0.06846704499151365,-0.0024230182600027622,0.9338385506987918,1.0006886898457383,0.011366961059824682,0.000643790967697064,0.0006308925014259441,0.011366961059824682,0.010723170092127619,0.010736068558398738,0.012010752027521745,0.011997853561250625,0.013272537030373633
7,0.7001500140028005,0.043616186418256375,0.06820525983116998,-0.0028104895678183477,0.9339739698560119,1.0009335535558972,0.01128274724402948,0.0006374263182599689,0.0006200812449425367,0.01128274724402948,0.010645320925769511,0.010662665999086943,0.011920173562289449,0.011902828488972016,0.013160336052174522
8,0.8001700160032006,0.04984698119873949,0.06790508029545834,-0.003190594351104835,0.934129449513915,1.0012136001428333,0.011186523918801494,0.0006301779084949407,0.0006078364056129834,0.011186523918801494,0.010556346010306552,0.01057868751318851,0.011816701827296435,0.011794360324414476,0.013032374638522401
9,0.9001900180036007,0.056077775979222595,0.0675672897989043,-0.003562408172772075,0.9343046661706107,1.001527794221935,0.01107868174515988,0.000622084591222949,0.0005942500527105479,0.01107868174515988,0.01045659715393693,0.010484431692449333,0.01170076633638283,0.011672931797870427,0.012889266441803925
10,1.000210020004001,0.062308570759705716,0.06719276183759584,-0.003925054970801942,0.9344992582294963,1.001874982464398,0.010959653857514325,0.0006131891028458256,0.000579422520700658,0.010959653857514325,0.0103464647546685,0.010380231336813667,0.01157284296036015,0.011539076378214982,0.012731688001761467
11,1.100230022004401,0.06853936554018883,0.0667824549273782,-0.004277711440360776,0.9347128277880129,1.0022539007474278,0.010829912515631663,0.0006035376261184324,0.0005634610933966933,0.010829912515631663,0.01022637488951323,0.01026645142223497,0.011433450141750096,0.011393373609028356,0.012560372328543483
12,1.200250024004801,0.07477016032067194,0.0663374071296817,-0.004619610889396246,0.9349449425803781,1.0026631819236946,0.010689965506484392,0.0005931793281062979,0.000546478633730176,0.010689965506484392,0.010096786178378094,0.010143486872754216,0.01128314483459069,0.011236444140214567,0.012376102102051041
13,1.3002700260052011,0.08100095510115504,0.06585873021930085,-0.004950046540735577,0.9351951380572983,1.0031013641409408,0.010540352338398284,0.0005821658806103539,0.0005285921853197323,0.010540352338398284,0.00995818645778793,0.010011760153078551,0.011122518219008639,0.011068944523718018,0.012179702589648103
14,1.4002900280056012,0.08723174988163815,0.06534760355035715,-0.0052683742615769165,0.9354629195849959,1.0035668996386256,0.01038164027148545,0.0005705509703543439,0.0005099215714980637,0.01038164027148545,0.009811089301131106,0.009871718699987386,0.010952191241839793,0.010891561842983514,0.01197203438483592
15,1.5003100300060013,0.09346254466212126,0.06480526767843542,-0.005574014709621218,0.935747764745175,1.0040581639444748,0.010214420229439627,0.0005583898061129935,0.0004905880163146613,0.010214420229439627,0.009656030423326634,0.009723832213124966,0.01077281003555262,0.010705008245754289,0.011753986068181944
16,1.6003300320064013,0.09969333944260438,0.06423301779728331,-0.005866454892819607,0.9360491257173009,1.0045734653913028,0.010039302637978304,0.0005457386296760698,0.00047071281031577404,0.010039302637978304,0.009493564008302233,0.00956858982766253,0.010585041267654374,0.010510015448294078,0.011526466888285923
17,1.7003500340068014,0.10592413422308748,0.06363219704880134,-0.006145249148000164,0.936366431724228,1.0051110548719822,0.00985691323496973,0.000532654237160785,0.00045041604171821984,0.00985691323496973,0.009324258997808945,0.00940649719325151,0.010389567472130514,0.010307329276687949,0.011290399555566953
18,1.8003700360072015,0.11215492900357059,0.06300418976359183,-0.0064100195502175385,0.9366990915225648,1.0056691357501528,0.009667888896020941,0.0005191935166445593,0.00042981541100914794,0.009667888896020941,0.009148695379376381,0.009238073485011792,0.0101870824126655,0.01009770430703009,0.011046713234683796
19,1.9003900380076015,0.1183857237840537,0.062350414688361666,-0.0066604557722971715,0.937046495919172,1.006245873843491,0.009472873517798961,0.0005054130075094111,0.00040902514415133,0.009472873517798961,0.00896746051028955,0.009063848373647631,0.009978286525308373,0.009881898661950292,0.010796336813611033
20,2.000410040008002,0.12461651856453682,0.06167231825377969,-0.00689631441950237,0.9374080202959092,1.0068394073977986,0.009272513998911292,0.000491368486186531,0.00038815501652998533,0.009272513998911292,0.00878114551272476,0.008884358982381307,0.009763882485097823,0.009660669015441277,0.010540192518157793
21,2.100430042008402,0.13084731334501992,0.060971367933912064,-0.007117417870319322,0.9377830271252422,1.007447856971661,0.009067456355464229,0.00047711458227548477,0.0003673094966617486,0.009067456355464229,0.008590341773188744,0.008700146858802481,0.009544570937739714,0.009434765852125977,0.010279189931063212
22,2.200450044008802,0.13707810812550303,0.060249045744828915,-0.0073236526586221715,0.9381708684602679,1.008069335154421,0.008858342005070258,0.00046270442823983816,0.000346587015587562,0.008858342005070258,0.00839563757683042,0.008511754989482697,0.009321046433310097,0.00920492902065782,0.010014220464485222
23,2.300470046009202,0.14330890290598614,0.05950684192632802,-0.007514967436670311,0.9385708883836261,1.0087019560437605,0.008645804249454818,0.0004481893451179687,0.00032607936487672715,0.008645804249454818,0.008197614904336849,0.00831972488457809,0.009093993594572787,0.008971883614331546,0.00974615232432624
24,2.400490048009602,0.14953969768646924,0.0587462488466352,-0.007691370560682363,0.9389824254009119,1.009343844413459,0.008430464981848816,0.000433618565914881,0.00030587122336900053,0.008430464981848816,0.007996846415933935,0.008124593758479815,0.008864083547763697,0.008736336205217817,0.009475825994501698
25,2.500510050010002,0.15577049246695238,0.05796875516554789,-0.007852927344914266,0.9394048147652606,1.0099931445075967,0.00821293164121228,0.0004190389976394152,0.00028603981018231184,0.00821293164121228,0.007793892643572864,0.007926891831029967,0.008631970638851695,0.008498971451394591,0.009204050259216319
26,2.600530052010402,0.16200128724743548,0.057175840287016125,-0.007999757028385778,0.9398373907212669,1.010648028402446,0.007993794431013545,0.0004044950222074164,0.0002666546592875957,0.007993794431013545,0.007589299408806129,0.007727139771725949,0.00839828945322096,0.008260449090301141,0.008931598771796152
27,2.7005500540108023,0.1682320820279186,0.056368969127416846,-0.008132029502326861,0.9402794886575021,1.0113067038846322,0.007773623815992651,0.0003900283358473191,0.00024777750894929533,0.007773623815992651,0.007383595480145332,0.007525846307043356,0.00816365215183997,0.008021401324941948,0.00865920716973856
28,2.8005700560112023,0.1744628768084017,0.05554958722127886,-0.008249961843874522,0.9407304471583829,1.0119674218001102,0.0075529683060649895,0.0003756778260328801,0.0002294622977667312,0.0075529683060649895,0.00717729048003211,0.007323506008298258,0.00792864613209787,0.007782430603831721,0.008387570727631332
29,2.9005900580116024,0.1806936715888848,0.054719116181475326,-0.008353814702005176,0.9411896099474645,1.012628482836156,0.00733235253235179,0.0003614794844832085,0.00021175525777832266,0.00733235253235179,0.006970873047868581,0.0071205972745734675,0.007693832016834998,0.007544107790130112,0.008117342532391644
30,3.0006100600120025,0.1869244663693679,0.05387894952619462,-0.00844388858004249,0.941656327715691,1.0132882437061876,0.007112275616305036,0.00034746635433499304,0.00019469509418758334,0.007112275616305036,0.006764809261970043,0.006917580522117453,0.007459741970640029,0.007306970710492619,0.007849132159015195
31,3.1006300620124025,0.19315526114985102,0.05303044888165398,-0.008520520056125665,0.9421299598292083,1.0139451227127774,0.006893209829425714,0.0003336685092389898,0.00017831324073386593,0.006893209829425714,0.006559541320186724,0.006714896588691848,0.007226878338664704,0.00707152307015958,0.0075835048201324355
32,3.2006500640128026,0.19938605593033412,0.052174940563860676,-0.008584077982560463,0.9426098759130523,1.0145976046746281,0.006675599537288187,0.0003201130618661109,0.00016263417940890555,0.006675599537288187,0.006355486475422076,0.006512965357879282,0.006995712599154298,0.006838233716697092,0.007320980957972109
33,3.3006700660132027,0.20561685071081723,0.051313712539985776,-0.008634959700463886,0.943095457308029,1.0152442452082768,0.0064598604187896215,0.00030682419909728567,0.0001476758132876918,0.0064598604187896215,0.006153036219692336,0.00631218460550193,0.006766684617886907,0.006607536232077313,0.0070620362444622905
