zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.08,-8.75,0.42834,0.84895,0.48152,0.05562,14.38668,-0.004903603
-0.08,-8.125,0.43995,0.84555,0.4949,0.06054,13.91388,-0.005334068
-0.08,-7.5,0.45248,0.84192,0.50937,0.06651,13.42836,-0.005828226
-0.08,-6.875,0.46604,0.83817,0.52508,0.07396,12.98482,-0.006394072
-0.08,-6.25,0.48076,0.83336,0.54217,0.08401,12.44688,-0.007051553
-0.08,-5.625,0.49676,0.8284,0.5608,0.09375,11.96156,-0.007823624
-0.08,-5,0.51417,0.82293,0.58116,0.09414,11.48755,-0.008722237
-0.08,-4.375,0.53313,0.816,0.6034,0.09556,10.93069,-0.009782352
-0.08,-3.75,0.5537,0.80912,0.62764,0.09752,10.45979,-0.011012941
-0.08,-3.125,0.5759,0.80134,0.65391,0.09969,9.98443,-0.012455983
-0.08,-2.5,0.59961,0.79419,0.6821,0.10198,9.6175,-0.014099524
-0.08,-1.875,0.6246,0.78717,0.71191,0.10431,9.29681,-0.015933644
-0.08,-1.25,0.65051,0.78044,0.74293,0.10666,9.03212,-0.017932434
-0.08,-0.625,0.67694,0.7748,0.77466,0.10886,8.85336,-0.020051039
-0.08,0,0.70354,0.77082,0.80665,0.11099,8.76917,-0.022233574
-0.08,5,0.90398,0.75639,1.0482,0.12441,9.04853,-0.03912366
-0.08,10,1.0753,0.75316,1.25435,0.13342,9.79738,-0.053283113
-0.08,15,1.22469,0.75114,1.43374,0.13993,10.51153,-0.065297651
-0.08,20,1.35841,0.74949,1.59407,0.14489,11.17767,-0.075832229
-0.07,-20,0.30421,0.89003,0.33439,0.0236,20.71845,-0.001756532
-0.07,-17.5,0.3223,0.88639,0.35453,0.0271,19.28856,-0.002097859
-0.07,-15,0.34398,0.88219,0.37874,0.03183,17.99374,-0.002566401
-0.07,-13.75,0.35657,0.87965,0.39283,0.03489,17.32484,-0.00286778
-0.07,-12.5,0.37062,0.87628,0.40858,0.03862,16.50275,-0.003231446
-0.07,-11.25,0.38641,0.87254,0.42633,0.04326,15.72007,-0.004117262
-0.07,-10,0.40432,0.86773,0.44651,0.04919,14.83295,-0.00424282
-0.07,-9.375,0.41421,0.8652,0.45769,0.05286,14.43085,-0.004574974
-0.07,-8.75,0.42482,0.86228,0.4697,0.05712,13.99534,-0.004954021
-0.07,-8.125,0.43624,0.85879,0.48265,0.06223,13.53865,-0.00538316
-0.07,-7.5,0.44855,0.85505,0.49664,0.0684,13.06693,-0.00588134
-0.07,-6.875,0.46186,0.85119,0.51181,0.0762,12.63767,-0.00644431
-0.07,-6.25,0.47628,0.84656,0.52829,0.08701,12.15839,-0.007101668
-0.07,-5.625,0.49194,0.84114,0.54624,0.09367,11.6466,-0.007866615
-0.07,-5,0.50895,0.83552,0.5658,0.09438,11.18517,-0.008762147
-0.07,-4.375,0.52742,0.82905,0.58713,0.09585,10.70402,-0.009802314
-0.07,-3.75,0.54742,0.82168,0.61031,0.0978,10.21429,-0.011019265
-0.07,-3.125,0.56893,0.81435,0.63536,0.0999,9.79595,-0.0124215
-0.07,-2.5,0.59185,0.80705,0.66216,0.10224,9.43434,-0.01402242
-0.07,-1.875,0.61594,0.7999,0.69043,0.10452,9.11668,-0.015798378
-0.07,-1.25,0.64086,0.79338,0.71978,0.10674,8.87489,-0.017732526
-0.07,-0.625,0.66626,0.78802,0.74976,0.1089,8.7165,-0.019765669
-0.07,0,0.69181,0.78369,0.77998,0.11098,8.6147,-0.021865009
-0.07,5,0.88466,0.76959,1.00851,0.12415,8.89829,-0.038117999
-0.07,10,1.05007,0.7658,1.20424,0.13306,9.58965,-0.05179927
-0.07,15,1.19458,0.76395,1.37489,0.13953,10.29425,-0.063433406
-0.07,20,1.32407,0.76242,1.52758,0.14449,10.94521,-0.073652596
-0.06,-20,0.30254,0.90325,0.32747,0.02416,20.10409,-0.001785958
-0.06,-17.5,0.32046,0.89983,0.34712,0.02775,18.88095,-0.002130637
-0.06,-15,0.34193,0.89527,0.37073,0.03261,17.52229,-0.002601184
-0.06,-13.75,0.35439,0.89241,0.38447,0.03576,16.79624,-0.002906512
-0.06,-12.5,0.36827,0.88919,0.3998,0.03958,16.08055,-0.003275114
-0.06,-11.25,0.38387,0.88533,0.41708,0.04435,15.32257,-0.003730943
-0.06,-10,0.40155,0.88031,0.4367,0.05047,14.44508,-0.004294209
-0.06,-9.375,0.4113,0.87803,0.44756,0.05423,14.12062,-0.004626628
-0.06,-8.75,0.42176,0.8747,0.45922,0.05865,13.63421,-0.005006744
-0.06,-8.125,0.433,0.87112,0.47177,0.06391,13.19119,-0.005435474
-0.06,-7.5,0.44511,0.86727,0.48534,0.07032,12.7355,-0.005930593
-0.06,-6.875,0.45818,0.86331,0.50002,0.07853,12.31848,-0.006498775
-0.06,-6.25,0.47233,0.85856,0.51595,0.09045,11.85188,-0.007153555
-0.06,-5.625,0.48767,0.85299,0.53327,0.0937,11.35532,-0.007918678
-0.06,-5,0.5043,0.84724,0.55212,0.09462,10.90641,-0.008799194
-0.06,-4.375,0.52232,0.8406,0.57262,0.09617,10.43802,-0.009830262
-0.06,-3.75,0.54178,0.83338,0.59484,0.09803,9.98822,-0.011026933
-0.06,-3.125,0.56266,0.82622,0.61879,0.10022,9.60178,-0.01239769
-0.06,-2.5,0.58484,0.81877,0.64434,0.10241,9.24459,-0.013958999
-0.06,-1.875,0.6081,0.81115,0.67122,0.10464,8.91121,-0.015680544
-0.06,-1.25,0.63211,0.80557,0.69906,0.10686,8.73325,-0.01754353
-0.06,-0.625,0.65656,0.7998,0.72748,0.10897,8.55668,-0.019511988
-0.06,0,0.68114,0.79616,0.75611,0.11098,8.49422,-0.02152843
-0.06,5,0.86702,0.78163,0.97298,0.12391,8.74202,-0.037192261
-0.06,10,1.02698,0.77768,1.15936,0.13272,9.40301,-0.050437579
-0.06,15,1.16698,0.776,1.32215,0.13915,10.09543,-0.061723764
-0.06,20,1.29256,0.7746,1.46796,0.14409,10.73617,-0.071645141
-0.05,-20,0.301138331,0.914790025,0.321322957,0.024729409,19.60437062,-0.001807858
-0.05,-17.5,0.31891,0.91199,0.34054,0.02841,18.36291,-0.00215991
-0.05,-15,0.34019,0.90752,0.36362,0.0334,17.08561,-0.002637655
-0.05,-13.75,0.35252,0.90483,0.37703,0.03662,16.45991,-0.002949009
-0.05,-12.5,0.36627,0.90102,0.392,0.04055,15.62206,-0.003321716
-0.05,-11.25,0.38169,0.89731,0.40884,0.04545,14.95402,-0.00377862
-0.05,-10,0.39915,0.89206,0.42796,0.05175,14.08529,-0.004344557
-0.05,-9.375,0.40877,0.88972,0.43853,0.05562,13.77108,-0.004681193
-0.05,-8.75,0.41908,0.88664,0.44987,0.06019,13.35729,-0.005061504
-0.05,-8.125,0.43016,0.88263,0.46207,0.06561,12.87037,-0.005494346
-0.05,-7.5,0.44208,0.87869,0.47524,0.07233,12.42712,-0.005990569
-0.05,-6.875,0.45493,0.87496,0.48948,0.08098,12.0659,-0.00655617
-0.05,-6.25,0.46883,0.86975,0.50491,0.09438,11.56811,-0.007206001
-0.05,-5.625,0.48386,0.86472,0.52166,0.09379,11.15577,-0.007966337
-0.05,-5,0.50014,0.85849,0.53985,0.09485,10.68053,-0.008845461
-0.05,-4.375,0.51774,0.8517,0.5596,0.09644,10.22111,-0.009858227
-0.05,-3.75,0.53669,0.84466,0.58095,0.0983,9.8048,-0.011036628
-0.05,-3.125,0.55698,0.83701,0.6039,0.10047,9.40016,-0.012382952
-0.05,-2.5,0.57847,0.83011,0.6283,0.10262,9.09223,-0.013899208
-0.05,-1.875,0.60095,0.82305,0.65393,0.10482,8.80205,-0.015581117
-0.05,-1.25,0.62413,0.81706,0.68042,0.10692,8.60558,-0.0173767
-0.05,-0.625,0.6477,0.8116,0.70743,0.10898,8.44979,-0.019272544
-0.05,0,0.671398774,0.806564889,0.734628365,0.11098237,8.339320193,-0.021215491
-0.05,5,0.85084,0.79298,0.94099,0.12368,8.60048,-0.036344452
-0.05,10,1.00575,0.78886,1.11892,0.13239,9.22992,-0.049179037
-0.05,15,1.14158,0.78709,1.27462,0.13875,9.89672,-0.060153261
-0.05,20,1.263542365,0.786655795,1.414221568,0.143705598,10.50936144,-0.069798516
-0.04,-20,0.29997,0.92761,0.31585,0.0253,19.16853,-0.001845125
-0.04,-17.5,0.31761,0.92386,0.33468,0.02907,18.0174,-0.002193149
-0.04,-15,0.33871,0.91926,0.35728,0.03418,16.76289,-0.002682861
-0.04,-13.75,0.35094,0.91599,0.37039,0.03749,15.9979,-0.002990789
-0.04,-12.5,0.36454,0.91259,0.38503,0.04152,15.32557,-0.003368904
-0.04,-11.25,0.37981,0.90827,0.40148,0.04655,14.55392,-0.003827423
-0.04,-10,0.39706,0.90341,0.42013,0.05301,13.81584,-0.004390783
-0.04,-9.375,0.40657,0.90067,0.43044,0.05704,13.44541,-0.00473144
-0.04,-8.75,0.41675,0.89716,0.44149,0.06171,12.98805,-0.005118302
-0.04,-8.125,0.42767,0.8934,0.45337,0.06739,12.57104,-0.005551369
-0.04,-7.5,0.43941,0.88936,0.46618,0.07433,12.14006,-0.006050414
-0.04,-6.875,0.45206,0.8852,0.48001,0.08346,11.74613,-0.006608105
-0.04,-6.25,0.46571,0.88056,0.49498,0.09386,11.34398,-0.00726199
-0.04,-5.625,0.48046,0.87506,0.51121,0.09393,10.90324,-0.008018514
-0.04,-5,0.4964,0.86903,0.5288,0.09503,10.47005,-0.008887675
-0.04,-4.375,0.5136,0.86244,0.54785,0.09669,10.04685,-0.009891469
-0.04,-3.75,0.53208,0.85525,0.56841,0.09861,9.63512,-0.011055451
-0.04,-3.125,0.55181,0.8478,0.59044,0.10067,9.25949,-0.012375845
-0.04,-2.5,0.57266,0.84043,0.61381,0.10284,8.93193,-0.013856208
-0.04,-1.875,0.59443,0.83327,0.63829,0.10496,8.6462,-0.015479437
-0.04,-1.25,0.61683,0.8272,0.66356,0.10705,8.45144,-0.017223979
-0.04,-0.625,0.63959,0.82206,0.68929,0.10906,8.31669,-0.019059401
-0.04,0,0.66246,0.81805,0.71519,0.11099,8.23677,-0.020937708
-0.04,5,0.83592,0.80415,0.91204,0.12346,8.4925,-0.035564396
-0.04,10,0.98615,0.7999,1.08229,0.13207,9.0979,-0.048013904
-0.04,15,1.1181,0.79883,1.23154,0.13841,9.71059,-0.058687217
-0.04,20,1.2367,0.79636,1.3655,0.1433,10.32753,-0.068080873
-0.03,-20,0.29901,0.93854,0.31096,0.02587,18.66777,-0.001866331
-0.03,-17.5,0.31652,0.9347,0.32944,0.02973,17.56195,-0.002232602
-0.03,-15,0.33747,0.9298,0.35159,0.03497,16.2991,-0.002715005
-0.03,-13.75,0.34959,0.92671,0.36444,0.03836,15.63866,-0.003030083
-0.03,-12.5,0.36307,0.92323,0.37877,0.04249,14.98545,-0.003413255
-0.03,-11.25,0.37818,0.91907,0.39487,0.04766,14.29129,-0.00387998
-0.03,-10,0.39525,0.91373,0.4131,0.05433,13.50136,-0.004450525
-0.03,-9.375,0.40465,0.91093,0.42316,0.05842,13.14157,-0.004792221
-0.03,-8.75,0.4147,0.90769,0.43395,0.06332,12.75138,-0.005174453
-0.03,-8.125,0.42547,0.90384,0.44553,0.06912,12.34125,-0.005608136
-0.03,-7.5,0.43704,0.90006,0.45801,0.07639,11.96274,-0.006111649
-0.03,-6.875,0.4495,0.89545,0.47147,0.08614,11.52971,-0.006675965
-0.03,-6.25,0.46293,0.89035,0.48602,0.09369,11.09646,-0.007323947
-0.03,-5.625,0.47741,0.88509,0.50176,0.09409,10.70109,-0.008073648
-0.03,-5,0.49304,0.87857,0.5188,0.0953,10.24512,-0.008940203
-0.03,-4.375,0.50986,0.87148,0.53721,0.09693,9.80425,-0.009932962
-0.03,-3.75,0.52789,0.86487,0.55703,0.09889,9.4551,-0.011070628
-0.03,-3.125,0.54709,0.85764,0.57822,0.10086,9.10724,-0.012372228
-0.03,-2.5,0.56734,0.85051,0.60064,0.103,8.80454,-0.013814898
-0.03,-1.875,0.58843,0.84397,0.62407,0.10505,8.56145,-0.015395128
-0.03,-1.25,0.61011,0.83786,0.64823,0.1071,8.36631,-0.017091026
-0.03,-0.625,0.63212,0.83232,0.6728,0.10908,8.21342,-0.018854921
-0.03,0,0.65422,0.82869,0.69753,0.11099,8.15277,-0.020681355
-0.03,5,0.82214,0.81388,0.8857,0.12324,8.35185,-0.034836912
-0.03,10,0.96799,0.80989,1.04895,0.13176,8.95025,-0.046941226
-0.03,15,1.09632,0.80898,1.19232,0.13805,9.55639,-0.05732982
-0.03,20,1.21178,0.80665,1.32113,0.14291,10.16575,-0.066491081
-0.02,-20,0.29821,0.94918,0.30657,0.02644,18.35289,-0.001905172
-0.02,-17.5,0.31563,0.94489,0.32473,0.03039,17.13527,-0.002264919
-0.02,-15,0.33642,0.94024,0.34648,0.03576,16.02193,-0.002764867
-0.02,-13.75,0.34845,0.9368,0.35908,0.03923,15.30169,-0.003079574
-0.02,-12.5,0.36182,0.93324,0.37313,0.04347,14.66683,-0.003463962
-0.02,-11.25,0.37679,0.92898,0.3889,0.04878,13.99116,-0.003931925
-0.02,-10,0.39368,0.92379,0.40675,0.05562,13.26841,-0.004506304
-0.02,-9.375,0.40297,0.92056,0.41659,0.05989,12.85651,-0.004848912
-0.02,-8.75,0.4129,0.91725,0.42713,0.06487,12.47701,-0.005237203
-0.02,-8.125,0.42354,0.91331,0.43844,0.07095,12.07768,-0.005670124
-0.02,-7.5,0.43495,0.90945,0.45061,0.07857,11.70938,-0.006172622
-0.02,-6.875,0.44723,0.90474,0.46372,0.08914,11.28639,-0.006736591
-0.02,-6.25,0.46044,0.89953,0.47788,0.09366,10.8635,-0.007388242
-0.02,-5.625,0.47467,0.89415,0.49318,0.09427,10.47841,-0.008126942
-0.02,-5,0.48999,0.88787,0.50971,0.09557,10.06281,-0.008988482
-0.02,-4.375,0.50645,0.88137,0.52753,0.09717,9.68476,-0.009973704
-0.02,-3.75,0.52406,0.87427,0.54666,0.09914,9.31106,-0.011091132
-0.02,-3.125,0.54277,0.86692,0.56707,0.10113,8.96627,-0.0123614
-0.02,-2.5,0.56245,0.86006,0.58862,0.10313,8.6889,-0.013777033
-0.02,-1.875,0.58291,0.85344,0.6111,0.10523,8.44675,-0.015323296
-0.02,-1.25,0.60392,0.84688,0.63423,0.10721,8.2334,-0.016966294
-0.02,-0.625,0.62522,0.84206,0.65774,0.10913,8.11884,-0.018681291
-0.02,0,0.64662,0.83766,0.68139,0.11097,8.0228,-0.020433762
-0.02,5,0.80935,0.82353,0.86164,0.12302,8.24329,-0.034158179
-0.02,10,0.95111,0.81934,1.01848,0.13143,8.81464,-0.045926756
-0.02,15,1.07605,0.8186,1.15645,0.13771,9.41376,-0.056060957
-0.02,20,1.18858,0.81579,1.28054,0.14257,9.98048,-0.064998244
-0.01,-20,0.29758,0.95889,0.30262,0.02701,17.90686,-0.001936123
-0.01,-17.5,0.31489,0.95487,0.32048,0.03106,16.85925,-0.002302939
-0.01,-15,0.33556,0.94955,0.34186,0.03655,15.60822,-0.002803856
-0.01,-13.75,0.34749,0.94659,0.35425,0.04011,15.05327,-0.003126571
-0.01,-12.5,0.36076,0.9424,0.36804,0.04446,14.30724,-0.003506464
-0.01,-11.25,0.3756,0.93804,0.38351,0.04991,13.65654,-0.003977486
-0.01,-10,0.39232,0.93292,0.401,0.05695,12.98931,-0.004567276
-0.01,-9.375,0.40151,0.92998,0.41063,0.0613,12.64451,-0.004908401
-0.01,-8.75,0.41133,0.92623,0.42094,0.06651,12.21925,-0.005293065
-0.01,-8.125,0.42184,0.92222,0.432,0.07277,11.82926,-0.005739114
-0.01,-7.5,0.4331,0.91827,0.44388,0.08071,11.47178,-0.006228085
-0.01,-6.875,0.4452,0.91346,0.45668,0.09289,11.05954,-0.006796902
-0.01,-6.25,0.4582,0.90851,0.47047,0.09371,10.68282,-0.007445155
-0.01,-5.625,0.47219,0.90266,0.48535,0.09447,10.26998,-0.00819192
-0.01,-5,0.48722,0.897,0.5014,0.09584,9.92277,-0.009037813
-0.01,-4.375,0.50334,0.89001,0.51867,0.09743,9.51987,-0.01001068
-0.01,-3.75,0.52055,0.88316,0.53718,0.09936,9.17697,-0.011120726
-0.01,-3.125,0.53879,0.87607,0.55687,0.10136,8.85875,-0.01236867
-0.01,-2.5,0.55794,0.86873,0.57761,0.10335,8.56076,-0.013746254
-0.01,-1.875,0.57781,0.86241,0.59921,0.10535,8.34094,-0.015254094
-0.01,-1.25,0.59818,0.85656,0.6214,0.1073,8.16631,-0.016846498
-0.01,-0.625,0.61883,0.85134,0.64394,0.10918,8.03351,-0.01850562
-0.01,0,0.63956,0.84733,0.66661,0.11099,7.95682,-0.020212896
-0.01,5,0.79744,0.83317,0.83958,0.12281,8.16428,-0.033528695
-0.01,10,0.93537,0.82831,0.99052,0.13115,8.68832,-0.044990757
-0.01,15,1.05713,0.82775,1.12352,0.13736,9.28099,-0.054866618
-0.01,20,1.16691,0.82508,1.24326,0.14222,9.84162,-0.063598791
0,-20,0.297086933,0.967720603,0.299047222,0.027587997,17.54517179,-0.001960289
0,-17.5,0.31431,0.96394,0.31664,0.03172,16.47719,-0.00234
0,-15,0.33484,0.95861,0.33768,0.03734,15.36765,-0.00284
0,-13.75,0.3467,0.95501,0.34986,0.04099,14.68691,-0.00317
0,-12.5,0.35986,0.95128,0.36342,0.04544,14.08492,-0.00356
0,-11.25,0.37457,0.94682,0.37861,0.05103,13.4437,-0.00404
0,-10,0.39115,0.94083,0.39576,0.05825,12.66738,-0.00462
0,-9.375,0.40024,0.9382,0.40521,0.06279,12.39094,-0.00497
0,-8.75,0.40995,0.93506,0.41531,0.0681,12.02667,-0.00536
0,-8.125,0.42033,0.93097,0.42613,0.07465,11.6435,-0.0058
0,-7.5,0.43145,0.92694,0.43775,0.08307,11.28885,-0.0063
0,-6.875,0.44338,0.92203,0.45024,0.0941,10.88266,-0.00686
0,-6.25,0.45619,0.91699,0.4637,0.09381,10.51218,-0.00751
0,-5.625,0.46995,0.91103,0.47819,0.09466,10.10522,-0.00825
0,-5,0.48471,0.9045,0.4938,0.0961,9.70488,-0.00909
0,-4.375,0.5005,0.89815,0.51055,0.09769,9.36493,-0.01006
0,-3.75,0.51733,0.8908,0.52847,0.09956,9.00334,-0.01115
0,-3.125,0.53513,0.8836,0.54749,0.10155,8.69057,-0.01237
0,-2.5,0.55377,0.87693,0.56749,0.10352,8.44135,-0.01372
0,-1.875,0.57309,0.87015,0.58827,0.10542,8.20332,-0.01519
0,-1.25,0.59286,0.86504,0.60959,0.10734,8.07005,-0.01673
0,-0.625,0.61289,0.86019,0.63124,0.10918,7.95688,-0.01835
0,0,0.633000821,0.855249926,0.653002975,0.110965398,7.857431543,-0.020002154
0,5,0.78634,0.84146,0.81927,0.12262,8.05098,-0.03293
0,10,0.920653487,0.837013593,0.964760081,0.130875402,8.586353251,-0.044106594
0,15,1.03943,0.83576,1.09318,0.13704,9.14352,-0.05376
0,20,1.146615501,0.834719564,1.208905667,0.141872663,9.681712269,-0.062290166
0.02,-20,0.29644,0.98504,0.29288,0.02874,16.85198,-0.002029168
0.02,-17.5,0.3135,0.98089,0.31,0.03306,15.89031,-0.002415293
0.02,-15,0.33381,0.97497,0.33044,0.03894,14.71261,-0.002934661
0.02,-13.75,0.34551,0.9718,0.34225,0.04276,14.20031,-0.003259633
0.02,-12.5,0.35849,0.96762,0.35538,0.04744,13.56542,-0.003659751
0.02,-11.25,0.37298,0.96269,0.37007,0.05332,12.90592,-0.004149586
0.02,-10,0.38926,0.95694,0.38663,0.06093,12.24184,-0.004744852
0.02,-9.375,0.39818,0.95382,0.39573,0.06576,11.92302,-0.005088392
0.02,-8.75,0.40769,0.95023,0.40544,0.07143,11.57646,-0.005483361
0.02,-8.125,0.41784,0.94615,0.41584,0.07854,11.21107,-0.005921474
0.02,-7.5,0.42869,0.94197,0.42698,0.08809,10.87335,-0.006423683
0.02,-6.875,0.4403,0.93727,0.43893,0.09368,10.5228,-0.006991323
0.02,-6.25,0.45274,0.93203,0.45177,0.0941,10.16457,-0.007635916
0.02,-5.625,0.46606,0.92625,0.46556,0.09511,9.80231,-0.008368606
0.02,-5,0.48031,0.91959,0.48035,0.09659,9.4198,-0.009200346
0.02,-4.375,0.49549,0.91332,0.49618,0.0982,9.10894,-0.010141897
0.02,-3.75,0.51161,0.90594,0.51304,0.10006,8.76447,-0.011203069
0.02,-3.125,0.52858,0.89923,0.53085,0.10191,8.49732,-0.012382337
0.02,-2.5,0.5463,0.8923,0.54951,0.10383,8.24333,-0.013677798
0.02,-1.875,0.56459,0.88638,0.56883,0.10568,8.0627,-0.015075831
0.02,-1.25,0.58328,0.8809,0.58861,0.1075,7.91513,-0.016542627
0.02,-0.625,0.60219,0.87623,0.60867,0.10928,7.81223,-0.018074756
0.02,0,0.62117,0.87189,0.62882,0.11098,7.7276,-0.0196286
0.02,5,0.7662,0.85778,0.78314,0.12225,7.88701,-0.031858293
0.02,10,0.8939,0.85323,0.9189,0.13033,8.3854,-0.04250443
0.02,15,1.00719,0.85197,1.03911,0.13641,8.92209,-0.05171435
0.02,20,1.10962,0.85111,1.14765,0.14118,9.4382,-0.059891964
0.04,-20,0.29617,1.00057,0.28779,0.0299,16.27943,-0.002098491
0.04,-17.5,0.31309,0.99625,0.3045,0.0344,15.36163,-0.002486325
0.04,-15,0.3332,0.9902,0.32441,0.04055,14.25727,-0.00302056
0.04,-13.75,0.34477,0.98661,0.33591,0.04454,13.70294,-0.003358878
0.04,-12.5,0.35759,0.98227,0.34867,0.04945,13.09799,-0.003763028
0.04,-11.25,0.37187,0.97715,0.36292,0.05563,12.46767,-0.004261378
0.04,-10,0.38788,0.97139,0.37895,0.06369,11.85924,-0.004864477
0.04,-9.375,0.39664,0.96816,0.38775,0.06878,11.55184,-0.005214581
0.04,-8.75,0.40596,0.96443,0.39713,0.0749,11.21774,-0.005615783
0.04,-8.125,0.4159,0.96021,0.40714,0.0827,10.86389,-0.006049901
0.04,-7.5,0.4265,0.95588,0.41786,0.09435,10.53787,-0.006559846
0.04,-6.875,0.43782,0.95102,0.42933,0.09368,10.19938,-0.007127072
0.04,-6.25,0.44992,0.94561,0.44162,0.09443,9.85267,-0.007764126
0.04,-5.625,0.46284,0.93964,0.45478,0.09555,9.50166,-0.008492827
0.04,-5,0.4766,0.93379,0.46886,0.09705,9.20069,-0.009314994
0.04,-4.375,0.49123,0.92703,0.48386,0.09867,8.87408,-0.010230625
0.04,-3.75,0.50669,0.92037,0.49978,0.10047,8.59063,-0.011269723
0.04,-3.125,0.52292,0.91319,0.51653,0.10227,8.30778,-0.012409011
0.04,-2.5,0.5398,0.90642,0.53402,0.10407,8.07291,-0.013645218
0.04,-1.875,0.55718,0.90072,0.55207,0.1059,7.90795,-0.014981431
0.04,-1.25,0.57491,0.89487,0.57053,0.10765,7.74718,-0.016383286
0.04,-0.625,0.59282,0.89049,0.58921,0.10935,7.66008,-0.017822779
0.04,0,0.61078,0.88714,0.60797,0.11099,7.6179,-0.019305183
0.04,5,0.74841,0.87274,0.75197,0.1219,7.74662,-0.030913247
0.04,10,0.87019,0.86825,0.87928,0.12981,8.22373,-0.041074206
0.04,15,0.97856,0.86616,0.99236,0.1358,8.69845,-0.049907542
0.04,20,1.07672,0.86517,1.09466,0.14055,9.18558,-0.05775875
0.05,-20,0.296151415,1.00796419,0.28557904,0.030474905,16.07795434,-0.002126164
0.05,0,0.60605214,0.893256149,0.598586054,0.110991151,7.527797677,-0.019150603
0.05,20,1.061580849,0.871493694,1.070738839,0.140238846,9.081406652,-0.056769394
0.06,-20,0.2962,1.01502,0.28356,0.03106,15.88639,-0.00216426
0.06,-17.5,0.313,1.01013,0.2999,0.03575,14.88222,-0.002566826
0.06,-15,0.33293,1.00397,0.31937,0.04217,13.84401,-0.003113848
0.06,-13.75,0.34439,0.99993,0.33058,0.04635,13.25065,-0.003459106
0.06,-12.5,0.35705,0.99576,0.34301,0.05149,12.72385,-0.003868059
0.06,-11.25,0.37114,0.99045,0.35688,0.05795,12.11387,-0.004372191
0.06,-10,0.38691,0.98439,0.37244,0.06652,11.51202,-0.004981946
0.06,-9.375,0.39552,0.98105,0.38097,0.07188,11.21515,-0.005339896
0.06,-8.75,0.40467,0.9772,0.39004,0.07855,10.89197,-0.005733427
0.06,-8.125,0.4144,0.97326,0.39972,0.0873,10.59201,-0.006188806
0.06,-7.5,0.42477,0.96837,0.41005,0.09378,10.23392,-0.006688121
0.06,-6.875,0.43582,0.96336,0.42109,0.09388,9.90569,-0.007254503
0.06,-6.25,0.4476,0.95778,0.43289,0.0948,9.56996,-0.007890564
0.06,-5.625,0.46014,0.95205,0.44549,0.09599,9.25981,-0.008608392
0.06,-5,0.47346,0.94604,0.45892,0.0975,8.96463,-0.009419553
0.06,-4.375,0.48757,0.93942,0.47319,0.09913,8.66403,-0.010324569
0.06,-3.75,0.50243,0.93291,0.48827,0.10082,8.40317,-0.011331874
0.06,-3.125,0.51798,0.92557,0.50409,0.10261,8.12335,-0.012427814
0.06,-2.5,0.53409,0.91996,0.52054,0.10436,7.95341,-0.013626645
0.06,-1.875,0.55065,0.91386,0.53749,0.10607,7.77404,-0.01490158
0.06,-1.25,0.56751,0.9086,0.55477,0.10775,7.64235,-0.016233744
0.06,-0.625,0.58453,0.9039,0.57226,0.10938,7.54126,-0.017606871
0.06,0,0.60159,0.90035,0.58981,0.11096,7.49159,-0.019013132
0.06,5,0.73258,0.88602,0.72479,0.12157,7.60585,-0.030059199
0.06,10,0.84901,0.8815,0.84469,0.12932,8.0569,-0.03978005
0.06,15,0.95292,0.88007,0.95152,0.13523,8.54363,-0.048277491
0.06,20,1.04722,0.87868,1.04832,0.13993,8.99303,-0.055831279
0.08,-20,0.29647,1.02778,0.28002,0.03222,15.40682,-0.002238116
0.08,-17.5,0.31317,1.02229,0.29605,0.03711,14.34323,-0.002647934
0.08,-15,0.33294,1.01613,0.31511,0.0438,13.40447,-0.00319997
0.08,-13.75,0.34428,1.01229,0.32607,0.04817,12.8934,-0.003551424
0.08,-12.5,0.35681,1.00765,0.33821,0.05353,12.33332,-0.003971629
0.08,-11.25,0.37072,1.0025,0.35173,0.06036,11.79162,-0.004483934
0.08,-10,0.38626,0.99614,0.36688,0.06934,11.19501,-0.005105022
0.08,-9.375,0.39473,0.99269,0.37516,0.07516,10.90769,-0.005467617
0.08,-8.75,0.40372,0.98829,0.38396,0.08238,10.55067,-0.005864916
0.08,-8.125,0.41326,0.98466,0.39333,0.09324,10.30372,-0.006320256
0.08,-7.5,0.42341,0.97962,0.40331,0.09365,9.9573,-0.006826306
0.08,-6.875,0.43421,0.97446,0.41396,0.09418,9.63846,-0.007387071
0.08,-6.25,0.44568,0.96916,0.42531,0.0952,9.34351,-0.008022551
0.08,-5.625,0.45787,0.96284,0.4374,0.09643,9.01063,-0.008731421
0.08,-5,0.47078,0.95678,0.45025,0.09793,8.73075,-0.009529011
0.08,-4.375,0.4844,0.95065,0.46386,0.09955,8.47491,-0.010417322
0.08,-3.75,0.49871,0.944,0.47818,0.10118,8.21727,-0.011393018
0.08,-3.125,0.51362,0.93783,0.49317,0.10289,8.00697,-0.012463428
0.08,-2.5,0.52905,0.93148,0.5087,0.1046,7.80575,-0.013609877
0.08,-1.875,0.54486,0.92597,0.52467,0.10627,7.65731,-0.014825691
0.08,-1.25,0.56093,0.92101,0.54093,0.10789,7.54065,-0.016100859
0.08,-0.625,0.57715,0.91629,0.55736,0.10947,7.43987,-0.017417372
0.08,0,0.5934,0.91255,0.57385,0.11099,7.38157,-0.01875789
0.08,5,0.71838,0.89879,0.7009,0.12126,7.50262,-0.029297017
