zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.18,0,0.95701,0.56689,1.49258,0.11099,11.90167,-0.030242259
-0.18,5,1.30637,0.55621,2.06518,0.12759,12.62561,-0.05961833
-0.18,10,1.59258,0.55443,2.53318,0.13771,13.91741,-0.082964462
-0.18,15,1.83695,0.55293,2.93188,0.14463,15.19381,-0.102306338
-0.18,20,2.0532,0.5535,3.28418,0.14978,16.30543,-0.119080885
-0.17,-20,0.35542,0.68161,0.51273,0.01799,30.74447,-0.001609346
-0.17,-17.5,0.37731,0.67967,0.54464,0.02062,28.92587,-0.001932024
-0.17,-15,0.40378,0.677,0.5833,0.02416,26.83063,-0.002381024
-0.17,-13.75,0.41926,0.67535,0.60595,0.02644,25.73751,-0.002672459
-0.17,-12.5,0.43665,0.67347,0.63144,0.0292,24.64807,-0.003030528
-0.17,-11.25,0.45636,0.67102,0.66037,0.03261,23.3717,-0.003472647
-0.17,-10,0.47893,0.66813,0.69359,0.03695,22.09392,-0.004028381
-0.17,-9.375,0.49151,0.66647,0.71215,0.03958,21.44577,-0.004367611
-0.17,-8.75,0.50511,0.6647,0.73224,0.04264,20.75015,-0.004756491
-0.17,-8.125,0.51986,0.66236,0.75406,0.04621,20.02555,-0.005204284
-0.17,-7.5,0.53592,0.65989,0.77787,0.05047,19.28704,-0.005722182
-0.17,-6.875,0.55348,0.65734,0.80397,0.05563,18.61943,-0.006332852
-0.17,-6.25,0.57277,0.65405,0.8327,0.06206,17.81446,-0.007051262
-0.17,-5.625,0.59405,0.65042,0.8645,0.07035,17.03846,-0.007913571
-0.17,-5,0.61763,0.64622,0.89985,0.0819,16.24349,-0.008948152
-0.17,-4.375,0.64385,0.64118,0.93931,0.09371,15.4038,-0.010206717
-0.17,-3.75,0.67306,0.63505,0.98346,0.0946,14.51238,-0.011743646
-0.17,-3.125,0.70555,0.62863,1.03282,0.09676,13.73445,-0.013623538
-0.17,-2.5,0.74145,0.62144,1.08767,0.09948,12.98732,-0.015906176
-0.17,-1.875,0.78055,0.61388,1.14772,0.10244,12.3201,-0.018629629
-0.17,-1.25,0.82218,0.60692,1.21198,0.1054,11.80548,-0.02174455
-0.17,-0.625,0.86535,0.60135,1.27888,0.10828,11.49813,-0.025150767
-0.17,0,0.90908,0.59661,1.34682,0.11099,11.30221,-0.028728111
-0.17,5,1.23187,0.58549,1.84939,0.1272,11.96094,-0.055882941
-0.17,10,1.49765,0.58364,2.26226,0.13721,13.16453,-0.077588709
-0.17,15,1.7251,0.58176,2.61482,0.1441,14.31135,-0.095626945
-0.17,20,1.92662,0.58237,2.92671,0.14923,15.35593,-0.11128445
-0.16,-20,0.34473,0.71191,0.47599,0.01854,29.2064,-0.0016036
-0.16,-17.5,0.36589,0.70961,0.50551,0.02126,27.2406,-0.001927999
-0.16,-15,0.39145,0.70683,0.54125,0.02492,25.34145,-0.002370841
-0.16,-13.75,0.4064,0.70507,0.56219,0.02727,24.31791,-0.002659653
-0.16,-12.5,0.42316,0.70307,0.58572,0.03013,23.29641,-0.003013899
-0.16,-11.25,0.44215,0.70046,0.61242,0.03366,22.09823,-0.003451002
-0.16,-10,0.46388,0.69739,0.64305,0.03814,20.89727,-0.004007601
-0.16,-9.375,0.47598,0.69557,0.66014,0.04087,20.26205,-0.004342403
-0.16,-8.75,0.48905,0.69377,0.67862,0.04404,19.60953,-0.004722197
-0.16,-8.125,0.50322,0.6912,0.69869,0.04775,18.92874,-0.005164372
-0.16,-7.5,0.51862,0.6888,0.72057,0.05217,18.3101,-0.005671686
-0.16,-6.875,0.53545,0.68586,0.74453,0.05754,17.60568,-0.006275147
-0.16,-6.25,0.55391,0.68237,0.77087,0.06425,16.84839,-0.006980312
-0.16,-5.625,0.57425,0.67829,0.79997,0.07298,16.06339,-0.00781912
-0.16,-5,0.59673,0.67406,0.83225,0.08548,15.36769,-0.00882627
-0.16,-4.375,0.62167,0.6685,0.8682,0.09369,14.53384,-0.010048289
-0.16,-3.75,0.64936,0.66246,0.9083,0.09492,13.76704,-0.011530773
-0.16,-3.125,0.68005,0.65568,0.95296,0.09716,13.02798,-0.013332972
-0.16,-2.5,0.71381,0.64832,1.00235,0.09982,12.34392,-0.015509475
-0.16,-1.875,0.75041,0.64059,1.05617,0.10269,11.73011,-0.018076553
-0.16,-1.25,0.78921,0.634,1.11352,0.10558,11.30347,-0.020994808
-0.16,-0.625,0.82936,0.62797,1.17306,0.10836,10.98471,-0.024169245
-0.16,0,0.86998,0.62333,1.23345,0.11099,10.81733,-0.0274967
-0.16,5,1.17066,0.61182,1.68148,0.12683,11.41938,-0.052796408
-0.16,10,1.41944,0.60956,2.05136,0.13672,12.51454,-0.073143639
