phi0,omega,M,Q,R_eff,C_eff
0,1.224744871,0,0,,0
0.001,1.22387,0.063,0.05144,104.98253,0.0006
0.002,1.22281,0.08851,0.07232,73.86848,0.0012
0.003,1.22173,0.10778,0.08809,60.24294,0.00179
0.004,1.22064,0.12374,0.10116,52.11128,0.00237
0.005,1.21954,0.13756,0.11249,46.55583,0.00295
0.006,1.21844,0.14983,0.12256,42.45068,0.00353
0.007,1.21735,0.16091,0.13167,39.2567,0.0041
0.008,1.21625,0.17105,0.14001,36.67961,0.00466
0.009,1.21516,0.18041,0.14771,34.5427,0.00522
0.01,1.21407,0.1891,0.15488,32.73343,0.00578
0.011,1.21299,0.19722,0.16157,31.17523,0.00633
0.012,1.21191,0.20485,0.16787,29.81471,0.00687
0.013,1.21083,0.21204,0.17381,28.6134,0.00741
0.014,1.20976,0.21883,0.17942,27.54234,0.00795
0.015,1.20869,0.22526,0.18475,26.57929,0.00848
0.016,1.20763,0.23138,0.18982,25.70743,0.009
0.017,1.20657,0.2372,0.19465,24.91282,0.00952
0.018,1.20527,0.24276,0.19926,24.18517,0.01004
0.019,1.20447,0.24806,0.20366,23.51474,0.01055
0.02,1.20343,0.25314,0.20788,22.89473,0.01106
0.021,1.20239,0.258,0.21193,22.31953,0.01156
0.022,1.20135,0.26266,0.21581,21.78326,0.01206
0.023,1.20032,0.26714,0.21955,21.28237,0.01255
0.024,1.1993,0.27144,0.22313,20.81256,0.01304
0.025,1.19828,0.27558,0.22659,20.37095,0.01353
0.026,1.19727,0.27956,0.22992,19.95454,0.01401
0.027,1.19626,0.28339,0.23312,19.56154,0.01449
0.028,1.19525,0.28709,0.23622,19.18949,0.01496
0.029,1.19425,0.29065,0.23921,18.83638,0.01543
0.03,1.19326,0.29409,0.24209,18.50145,0.0159
0.031,1.19227,0.29741,0.24488,18.18209,0.01636
0.032,1.19128,0.30062,0.24757,17.87812,0.01682
0.033,1.1903,0.30372,0.25018,17.58769,0.01727
0.034,1.18932,0.30672,0.2527,17.30999,0.01772
0.035,1.18835,0.30962,0.25515,17.04414,0.01817
0.036,1.18738,0.31242,0.25751,16.78914,0.01861
0.037,1.18642,0.31514,0.2598,16.54456,0.01905
0.038,1.18546,0.31777,0.26202,16.30979,0.01948
0.039,1.18451,0.32031,0.26417,16.08364,0.01992
0.04,1.18356,0.32278,0.26625,15.86612,0.02034
0.041,1.18262,0.32517,0.26828,15.65668,0.02077
0.042,1.18168,0.32748,0.27024,15.45445,0.02119
0.043,1.18074,0.32972,0.27214,15.25917,0.02161
0.044,1.17981,0.3319,0.27398,15.07055,0.02202
0.045,1.17888,0.33401,0.27577,14.88825,0.02243
0.046,1.17796,0.33605,0.27751,14.71192,0.02284
0.047,1.17704,0.33804,0.2792,14.54116,0.02325
0.048,1.17612,0.33996,0.28084,14.37558,0.02365
0.049,1.17521,0.34183,0.28243,14.21475,0.02405
0.05,1.17431,0.34364,0.28398,14.05931,0.02444
0.051,1.17341,0.3454,0.28548,13.90826,0.02483
0.052,1.17251,0.34711,0.28693,13.76094,0.02522
0.053,1.17161,0.34877,0.28835,13.61876,0.02561
0.054,1.17072,0.35038,0.28973,13.47949,0.02599
0.055,1.16984,0.35194,0.29106,13.345,0.02637
0.056,1.16895,0.35346,0.29236,13.21319,0.02675
0.057,1.16807,0.35493,0.29362,13.08552,0.02712
0.058,1.1672,0.35636,0.29485,12.96087,0.02749
0.059,1.16598,0.35774,0.29604,12.83945,0.02786
0.06,1.16511,0.35909,0.2972,12.72088,0.02823
0.061,1.1646,0.3604,0.29832,12.60525,0.02859
0.062,1.16374,0.36167,0.29941,12.49229,0.02895
0.063,1.16288,0.3629,0.30048,12.38181,0.02931
0.064,1.16203,0.3641,0.30151,12.2742,0.02966
0.065,1.16118,0.36526,0.30251,12.1693,0.03002
