phi0,omega,M,Q,R_eff,C_eff
0,1,0,0,,0
0.001,0.9996,0.06488,0.0649,151.99635,0.00043
0.002,0.99904,0.09133,0.09137,107.65082,0.00085
0.003,0.99845,0.11131,0.11139,87.82056,0.00127
0.004,0.99784,0.12791,0.12803,75.98868,0.00168
0.005,0.99723,0.14232,0.14248,67.90754,0.0021
0.006,0.99662,0.15516,0.15536,61.9373,0.00251
0.007,0.996,0.16679,0.16705,57.29376,0.00291
0.008,0.99538,0.17745,0.17777,53.54758,0.00331
0.009,0.99476,0.18732,0.18769,50.44239,0.00371
0.01,0.99415,0.19652,0.19695,47.81345,0.00411
0.011,0.99353,0.20514,0.20563,45.54972,0.0045
0.012,0.99292,0.21326,0.21381,43.57428,0.00489
0.013,0.9923,0.22092,0.22154,41.82964,0.00528
0.014,0.99169,0.22819,0.22888,40.27494,0.00567
0.015,0.99108,0.2351,0.23586,38.87729,0.00605
0.016,0.99047,0.24169,0.24251,37.61186,0.00643
0.017,0.98986,0.24797,0.24886,36.45863,0.0068
0.018,0.98926,0.25399,0.25495,35.403,0.00717
0.019,0.98865,0.25975,0.26078,34.43081,0.00754
0.02,0.98805,0.26528,0.26638,33.53201,0.00791
0.021,0.98745,0.27059,0.27176,32.69771,0.00828
0.022,0.98685,0.2757,0.27695,31.91996,0.00864
0.023,0.98626,0.28061,0.28194,31.19398,0.009
0.024,0.98567,0.28535,0.28675,30.51299,0.00935
0.025,0.98507,0.28993,0.2914,29.87282,0.00971
0.026,0.98449,0.29434,0.29589,29.26997,0.01006
0.027,0.9839,0.29861,0.30023,28.70054,0.0104
0.028,0.98332,0.30273,0.30442,28.16145,0.01075
0.029,0.98273,0.30672,0.30849,27.64982,0.01109
0.03,0.98215,0.31058,0.31242,27.16471,0.01143
0.031,0.98158,0.31432,0.31624,26.70206,0.01177
0.032,0.981,0.31794,0.31994,26.26161,0.01211
0.033,0.98043,0.32146,0.32352,25.84112,0.01244
0.034,0.97986,0.32486,0.327,25.43889,0.01277
0.035,0.97929,0.32817,0.33038,25.05397,0.0131
0.036,0.97872,0.33138,0.33367,24.68549,0.01342
0.037,0.97816,0.33449,0.33685,24.33117,0.01375
0.038,0.9776,0.33752,0.33995,23.99136,0.01407
