phi0,omega,M,Q,R_eff,C_eff
0,0.942809042,0,0,,0
0.003,0.941355937,0.119047198,0.126347304,95.89569228,0.001241424
0.0033,0.941186545,0.125098755,0.13278585,91.37513283,0.001369068
0.0036,0.941015642,0.130920178,0.138974644,87.48037505,0.001496566
0.0039,0.940843443,0.136535589,0.144945652,84.04395046,0.001624574
0.0042,0.940670038,0.141969598,0.150724955,80.98229075,0.001753094
0.0045,0.9404955,0.147242441,0.156334005,78.23203391,0.001882125
0.0048,0.940319888,0.152370998,0.161790693,75.74357482,0.002011669
0.0051,0.940143254,0.157369514,0.167110121,73.47788233,0.002141726
0.0054,0.93996564,0.162250144,0.172305172,71.4035365,0.002272298
0.0057,0.939787085,0.167023354,0.177386939,69.49503187,0.002403386
0.006,0.939607621,0.171698227,0.182365052,67.73134005,0.002534989
0.0063,0.939427275,0.176282709,0.187247932,66.09506832,0.002667108
0.0066,0.939246073,0.180783795,0.192042995,64.5714745,0.002799747
0.0069,0.939064036,0.185207678,0.196756805,63.14829344,0.002932901
0.0072,0.938881183,0.189559875,0.20139521,61.81474487,0.00306658
0.0075,0.938697531,0.193845321,0.205963442,60.56211784,0.003200769
0.0078,0.938513097,0.198068453,0.210466205,59.3821511,0.003335488
0.0081,0.938327894,0.202233275,0.214907744,58.26835634,0.003470722
0.0084,0.938141934,0.206343417,0.219291906,57.21462092,0.003606481
0.0087,0.937955229,0.210402178,0.22362219,56.21588247,0.003742753
0.009,0.937767789,0.214412568,0.227901787,55.26731063,0.003879555
0.0093,0.937579624,0.218377343,0.23213362,54.36481653,0.004016887
0.0096,0.937390742,0.222299031,0.236320368,53.50498783,0.004154735
0.0099,0.937201151,0.226179958,0.240464499,52.68445931,0.004293106
0.0102,0.937010858,0.23002227,0.24456829,51.90027615,0.004432005
0.0105,0.93681987,0.233827951,0.248633843,51.14972129,0.004571441
0.0108,0.936628193,0.23759884,0.252663111,50.43080473,0.004711383
0.0111,0.936435833,0.241336644,0.256657903,49.74102538,0.004851863
0.0114,0.936242795,0.245042952,0.260619905,49.07852264,0.004992876
0.0117,0.936049084,0.248719242,0.264550686,48.44169475,0.005134404
0.012,0.935854704,0.252366898,0.268451715,47.8287832,0.005276465
0.0123,0.935659661,0.255987212,0.272324362,47.23827108,0.005419064
0.0126,0.935463956,0.259581394,0.276169913,46.66902351,0.005562178
0.0129,0.935267596,0.263150579,0.279989572,46.1194959,0.005705843
0.0132,0.935070582,0.266695835,0.283784472,45.58890775,0.005850016
0.0135,0.934872919,0.270218164,0.287555678,45.07592886,0.005994733
0.0138,0.934674609,0.273718511,0.291304193,44.57980389,0.006139967
0.0141,0.934475655,0.277197765,0.295030962,44.09949774,0.006285735
0.0144,0.93427606,0.280656769,0.29873688,43.63416775,0.006432041
0.0147,0.934075826,0.284096315,0.302422789,43.18301098,0.006578891
0.015,0.933874957,0.287517156,0.306089488,42.74544007,0.006726265
0.0153,0.933673454,0.290920001,0.309737732,42.32081654,0.006874159
0.0156,0.933471319,0.294305527,0.313368239,41.90845707,0.007022581
0.0159,0.933268555,0.29767437,0.316981689,41.50764005,0.007171556
0.0162,0.933065164,0.301027139,0.320578726,41.11800604,0.007321054
0.0165,0.932861147,0.304364411,0.324159963,40.73888178,0.007471104
0.0168,0.932656507,0.307686732,0.327725985,40.37007852,0.007621653
0.0171,0.932451244,0.310994625,0.331277346,40.010879,0.007772752
0.0174,0.932245362,0.314288587,0.334814575,39.6609313,0.007924388
0.0177,0.932038861,0.317569091,0.338338176,39.31985785,0.008076557
0.018,0.931831743,0.320836587,0.341848629,38.98725813,0.008229268
0.0183,0.93162401,0.324091507,0.345346393,38.66271157,0.008382534
0.0186,0.931415663,0.327334261,0.348831905,38.34624701,0.008536279
0.0189,0.931206703,0.330565242,0.352305584,38.03714428,0.00869059
0.0192,0.930997132,0.333784824,0.355767829,37.73527512,0.008845432
0.0195,0.930786951,0.336993366,0.359219022,37.44028546,0.009000823
0.0198,0.930576161,0.340191211,0.36265953,37.15212393,0.00915671
0.0201,0.930364764,0.343378687,0.366089702,36.87024885,0.009313164
0.0204,0.930152761,0.346556107,0.369509873,36.59450672,0.009470168
0.0207,0.929940153,0.349723774,0.372920365,36.32474425,0.009627701
0.021,0.929726942,0.352881974,0.376321486,36.06082925,0.009785742
0.0213,0.929513128,0.356030984,0.37971353,35.80240903,0.00994433
0.0216,0.929298712,0.35917107,0.38309678,35.54936385,0.010103446
0.0219,0.929083696,0.362302484,0.386471508,35.30156237,0.010263072
0.0222,0.928868081,0.36542547,0.389837974,35.05873259,0.010423237
0.0225,0.928651868,0.368540264,0.393196429,34.82064978,0.010583957
0.0228,0.928435059,0.371647087,0.396547113,34.58708306,0.010745257
0.0231,0.928217653,0.374746157,0.399890256,34.35832094,0.010906999
0.0234,0.927999652,0.37783768,0.403226079,34.13377577,0.01106932
0.0237,0.927781058,0.380921855,0.406554797,33.91341885,0.011232187
0.024,0.927561871,0.383998873,0.409876612,33.69726642,0.01139555
0.0243,0.927342092,0.387068917,0.413191723,33.4849888,0.011559476
0.0246,0.927121722,0.390132163,0.416500318,33.27655389,0.011723935
0.0249,0.926900763,0.393188781,0.419802578,33.07198063,0.011888879
0.0252,0.926679216,0.396238934,0.423098679,32.87082123,0.012054428
0.0255,0.926457081,0.399282778,0.426388789,32.67326474,0.012220474
0.0258,0.92623436,0.402320463,0.429673069,32.47924251,0.012387003
0.0261,0.926011053,0.405352135,0.432951676,32.28843386,0.012554097
0.0264,0.925787162,0.408377933,0.436224757,32.1007839,0.012721743
0.0267,0.925562688,0.41139799,0.439492458,31.91623376,0.012889929
0.027,0.925337632,0.414412434,0.442754917,31.7347207,0.013058645
0.0273,0.925111994,0.417421391,0.446012267,31.55619989,0.013227873
0.0276,0.924885777,0.420424977,0.449264636,31.38060688,0.013397605
0.0279,0.92465898,0.423423309,0.452512147,31.20778109,0.013567876
0.0282,0.924431606,0.426416495,0.455754919,31.03766102,0.01373868
0.0285,0.924203655,0.429404641,0.458993066,30.87027142,0.013909973
0.0288,0.923975128,0.432387848,0.462226696,30.7054727,0.014081785
0.0291,0.923746027,0.435366215,0.465455917,30.54318083,0.014254122
0.0294,0.923516352,0.438339835,0.468680828,30.3833096,0.014426994
0.0297,0.923286106,0.441308797,0.471901527,30.2257709,0.014600415
0.03,0.923055288,0.444273189,0.475118107,30.07047493,0.014774399
0.0303,0.9228239,0.447233093,0.47833066,29.91750052,0.014948879
0.0306,0.922591943,0.450188589,0.481539269,29.76693399,0.015123781
0.0309,0.922359419,0.453139754,0.48474402,29.61838415,0.015299273
0.0312,0.922126329,0.45608666,0.48794499,29.47175524,0.015475382
0.0315,0.921892673,0.459029378,0.491142257,29.32751393,0.015651834
0.0318,0.921658454,0.461967976,0.494335894,29.18515923,0.015828866
0.0321,0.921423672,0.464902518,0.49752597,29.04451627,0.016006551
0.0324,0.921188329,0.467833065,0.500712553,28.90623882,0.016184502
0.0327,0.920952425,0.470759678,0.503895707,28.76948434,0.01636316
0.033,0.920715963,0.473682412,0.507075495,28.6347495,0.016542223
0.0333,0.920478943,0.476601323,0.510251974,28.50170333,0.016721854
0.0336,0.920241367,0.479516461,0.513425202,28.37042229,0.016901985
0.0339,0.920003236,0.482427875,0.516595232,28.24085843,0.017082621
0.0342,0.919764552,0.485335614,0.519762116,28.11296573,0.017263764
0.0345,0.919525316,0.488239722,0.522925903,27.98664897,0.017445451
0.0348,0.919285529,0.491140242,0.526086639,27.86206814,0.017627559
0.0351,0.919045193,0.494037215,0.52924437,27.73875568,0.01781036
0.0354,0.918804309,0.496930679,0.532399137,27.6174,0.017993391
0.0357,0.918562878,0.49982067,0.53555098,27.4972066,0.018177144
0.036,0.918320903,0.502707225,0.538699939,27.37861645,0.018361309
0.0363,0.918078384,0.505590375,0.541846049,27.26153745,0.018545923
0.0366,0.917835324,0.508470152,0.544989344,27.14560777,0.018731213
0.0369,0.917591723,0.511346586,0.548129857,27.03128635,0.018916843
0.0372,0.917347583,0.514219704,0.551267619,26.91834157,0.019102949
0.0375,0.917102905,0.517089532,0.554402658,26.80652488,0.019289689
0.0378,0.916857692,0.519956095,0.557535,26.69599821,0.01947693
0.0381,0.916611945,0.522819415,0.560664673,26.5870202,0.019664461
0.0384,0.916365666,0.525679515,0.563791698,26.47914129,0.019852589
0.0387,0.916118855,0.528536413,0.566916098,26.37235796,0.020041303
0.039,0.915871516,0.531390129,0.570037894,26.26672037,0.020230547
0.0393,0.915623649,0.534240679,0.573157105,26.16258252,0.020420028
0.0396,0.915375256,0.537088079,0.576273747,26.05950213,0.020610067
0.0399,0.915126339,0.539932343,0.579387837,25.95747301,0.020800651
0.0402,0.914876899,0.542773485,0.58249939,25.85648844,0.020991771
0.0405,0.914626939,0.545611516,0.585608419,25.75654112,0.021183416
0.0408,0.91437646,0.548446447,0.588714935,25.65773674,0.02137548
0.0411,0.914125464,0.551278287,0.591818948,25.56013982,0.02156789
0.0414,0.913873953,0.554107044,0.59492047,25.46353039,0.02176081
0.0417,0.913621929,0.556932725,0.598019506,25.36789886,0.021954232
0.042,0.913369393,0.559755337,0.601116064,25.27323516,0.022148147
0.0423,0.913116347,0.562574883,0.60421015,25.1795287,0.02234255
0.0426,0.912862794,0.565391369,0.607301767,25.08676842,0.022537433
0.0429,0.912608735,0.568204795,0.61039092,24.9949428,0.02273279
0.0432,0.912354172,0.571015165,0.613477609,24.90403985,0.022928616
0.0435,0.912099107,0.573822479,0.616561837,24.81404715,0.023124905
0.0438,0.911843542,0.576626737,0.619643603,24.72495183,0.023321653
0.0441,0.91158748,0.579427937,0.622722906,24.63674061,0.023518855
0.0444,0.911330921,0.582226077,0.625799743,24.54939982,0.02371651
0.0447,0.911073869,0.585021155,0.628874113,24.4629154,0.023914613
0.045,0.910816325,0.587813166,0.631946011,24.3772729,0.024113164
0.0453,0.910558291,0.590602107,0.635015431,24.29245753,0.02431216
0.0456,0.91029977,0.593387971,0.638082368,24.20845416,0.024511601
0.0459,0.910040763,0.596170752,0.641146816,24.12524733,0.024711488
0.0462,0.909781273,0.598950443,0.644208766,24.04282127,0.02491182
0.0465,0.909521302,0.601727037,0.647268209,23.96115994,0.025112601
0.0468,0.909260853,0.604500524,0.650325137,23.88024701,0.025313831
0.0471,0.908999926,0.607270895,0.653379539,23.8000659,0.025515513
0.0474,0.908738525,0.610038141,0.656431404,23.7205998,0.025717652
0.0477,0.908476652,0.61280225,0.659480721,23.64183169,0.025920253
0.048,0.908214309,0.615563211,0.662527476,23.56374433,0.026123319
0.0483,0.907951498,0.618321012,0.665571656,23.48632031,0.026326858
0.0486,0.907688222,0.621075641,0.668613248,23.40959468,0.026530816
0.0489,0.907424484,0.623827083,0.671652236,23.33376495,0.026734952
0.0492,0.907160284,0.626575326,0.674688605,23.25856613,0.026939551
0.0495,0.906895626,0.629320353,0.677722339,23.18397989,0.027144621
0.0498,0.906630513,0.632062151,0.680753421,23.10998777,0.027350173
0.0501,0.906364946,0.634800704,0.683781833,23.03657123,0.027556215
0.0504,0.906098928,0.637535995,0.686807557,22.9637117,0.027762759
0.0507,0.905832462,0.640268007,0.689830575,22.89150721,0.027969675
0.051,0.905565549,0.642996724,0.692850867,22.82016971,0.028176685
0.0513,0.905298194,0.645722127,0.695868413,22.74935165,0.028384199
0.0516,0.905030397,0.648444198,0.698883193,22.67903387,0.028592232
0.0519,0.904762161,0.651162918,0.701895185,22.60919723,0.028800798
0.0522,0.90449349,0.653878268,0.704904368,22.53982261,0.029009912
0.0525,0.904224386,0.656590229,0.707910719,22.47142109,0.029218901
0.0528,0.90395485,0.659298779,0.710914216,22.4034926,0.029428393
0.0531,0.903684887,0.662003899,0.713914836,22.33598529,0.029638446
0.0534,0.903414498,0.664705567,0.716912554,22.26887983,0.02984908
0.0537,0.903143686,0.667403763,0.719907347,22.20241676,0.03005996
0.054,0.902872454,0.670098463,0.72289919,22.13671283,0.030270911
0.0543,0.902600805,0.672789646,0.725888057,22.07136804,0.030482462
0.0546,0.902328741,0.675477289,0.728873923,22.00636299,0.030694635
0.0549,0.902056265,0.67816137,0.731856762,21.94192898,0.030907099
0.0552,0.901783379,0.680841864,0.734836547,21.87827445,0.031119541
0.0555,0.901510088,0.683518749,0.737813252,21.81491554,0.031332633
0.0558,0.901236392,0.686192,0.740786848,21.75183301,0.031546399
0.0561,0.900962295,0.688861593,0.743757308,21.68950599,0.031760133
0.0564,0.900687801,0.691527503,0.746724605,21.62771714,0.031974133
0.0567,0.900412911,0.694189705,0.749688709,21.56615957,0.032188842
0.057,0.900137628,0.696848174,0.752649592,21.50495797,0.032404071
0.0573,0.899861956,0.699502885,0.755607224,21.44465915,0.032618979
0.0576,0.899585898,0.702153812,0.758561576,21.38454573,0.032834638
0.0579,0.899309456,0.704800928,0.761512617,21.32459908,0.033051075
0.0582,0.899032632,0.707444208,0.764460318,21.26562227,0.033267035
0.0585,0.898755431,0.710083624,0.767404648,21.20686881,0.033483662
0.0588,0.898477855,0.71271915,0.770345577,21.14823605,0.033701116
0.0591,0.898199907,0.715350759,0.773283071,21.09047719,0.033918188
0.0594,0.897921591,0.717978424,0.776217102,21.03299656,0.034135812
0.0597,0.897642908,0.720602117,0.779147636,20.97559033,0.034354319
0.06,0.897363862,0.72322181,0.782074641,20.91908529,0.034572344
0.0603,0.897084456,0.725837476,0.784998086,20.86278785,0.034791011
0.0606,0.896804694,0.728449086,0.787917937,20.80651852,0.035010619
0.0609,0.896524577,0.731056613,0.790834163,20.75129942,0.035229438
0.0612,0.89624411,0.733660027,0.793746729,20.69609348,0.035449203
0.0615,0.895963296,0.736259301,0.796655603,20.64112479,0.035669534
0.0618,0.895682137,0.738854405,0.79956075,20.58696469,0.035889429
0.0621,0.895400636,0.741445312,0.802462139,20.53275698,0.036110363
0.0624,0.895118797,0.74403199,0.805359733,20.47912987,0.036331231
0.0627,0.894836624,0.746614413,0.8082535,20.42591938,0.036552304
0.063,0.894554118,0.749192549,0.811143405,20.37261553,0.03677449
0.0633,0.894271284,0.75176637,0.814029414,20.32035254,0.036995735
0.0636,0.893988124,0.754335847,0.816911491,20.26799586,0.037218078
0.0639,0.893704642,0.756900949,0.819789603,20.21605115,0.037440593
0.0642,0.893420841,0.759461648,0.822663713,20.16462051,0.037663077
0.0645,0.893136724,0.762017912,0.825533788,20.11302146,0.037886795
0.0648,0.892852294,0.764569713,0.828399791,20.0624823,0.038109427
0.0651,0.892567555,0.76711702,0.831261688,20.011757,0.038333317
0.0654,0.89228251,0.769659803,0.834119442,19.96157302,0.038557072
0.0657,0.891997163,0.772198033,0.836973018,19.91169846,0.038781123
0.066,0.891711516,0.774731678,0.839822381,19.86188347,0.039005952
0.0663,0.891425573,0.77726071,0.842667494,19.81283588,0.039230159
0.0666,0.891139337,0.779785097,0.845508321,19.76351588,0.039455788
0.0669,0.890852811,0.782304809,0.848344827,19.71515831,0.039680372
