phi0,omega,M,Q,R_eff,C_eff
0.276,0.99475,0.3568,0.31183,6.10989,0.0584
0.277,0.99434,0.35651,0.31154,6.09664,0.05848
0.278,0.99394,0.35622,0.31125,6.08328,0.05856
0.279,0.99353,0.35593,0.31096,6.06981,0.05864
0.28,0.99313,0.35564,0.31067,6.05623,0.05872
0.281,0.99273,0.35536,0.31038,6.04328,0.0588
0.282,0.99232,0.35507,0.31009,6.0308,0.05888
0.283,0.99192,0.35478,0.30979,6.01821,0.05895
0.284,0.99152,0.35449,0.3095,6.00552,0.05903
0.285,0.99112,0.3542,0.30921,5.99273,0.0591
0.286,0.99071,0.35391,0.30892,5.97984,0.05918
0.287,0.99031,0.35362,0.30863,5.96685,0.05926
0.288,0.98991,0.35333,0.30834,5.95381,0.05935
0.289,0.98951,0.35305,0.30804,5.94188,0.05942
0.29,0.98911,0.35276,0.30775,5.92986,0.05949
0.291,0.98871,0.35247,0.30746,5.91775,0.05956
0.292,0.98831,0.35218,0.30717,5.90555,0.05964
0.293,0.98791,0.35189,0.30688,5.89325,0.05971
0.294,0.98751,0.35161,0.30659,5.88085,0.05979
0.295,0.98712,0.35132,0.30629,5.86836,0.05987
0.296,0.98672,0.35103,0.306,5.85602,0.05994
0.297,0.98632,0.35074,0.30571,5.84458,0.06001
0.298,0.98592,0.35046,0.30542,5.83304,0.06008
0.299,0.98552,0.35017,0.30513,5.82143,0.06015
0.3,0.98513,0.34988,0.30484,5.80972,0.06022
0.301,0.98473,0.3496,0.30454,5.79793,0.0603
0.302,0.98434,0.34931,0.30425,5.78605,0.06037
0.303,0.98394,0.34902,0.30396,5.77408,0.06045
0.304,0.98354,0.34874,0.30367,5.76205,0.06052
0.305,0.98315,0.34845,0.30338,5.7511,0.06059
0.306,0.98275,0.34817,0.30309,5.74007,0.06066
0.307,0.98236,0.34788,0.3028,5.72897,0.06072
0.308,0.98196,0.3476,0.30251,5.71778,0.06079
0.309,0.98157,0.34731,0.30222,5.70651,0.06086
0.31,0.98118,0.34703,0.30193,5.69516,0.06093
