phi0,omega,M,Q,R_eff,C_eff
0,0.866025404,0,0,,0
0.0003,0.865821258,0.014058119,0.016945925,242.9008063,5.79E-05
0.0009,0.865767004,0.067976558,0.078507678,194.8817928,0.000348809
0.0012,0.865640042,0.078694856,0.090891755,169.7754273,0.000463523
0.0015,0.865508483,0.088177168,0.101855894,151.933387,0.000580367
0.0018,0.865373557,0.096810762,0.111829665,138.7639859,0.000697665
0.0021,0.865235926,0.104855231,0.120976962,128.8008667,0.000814088
0.0024,0.865096213,0.112276702,0.129711624,120.171319,0.000934305
0.0027,0.864954566,0.119347183,0.137888987,113.2954716,0.001053415
0.003,0.864811271,0.126077085,0.145673943,107.4783202,0.001173047
0.0033,0.864666502,0.132518569,0.153126696,102.4733241,0.001293201
0.0036,0.864520392,0.138712069,0.160293912,98.10767027,0.001413876
0.0039,0.864373047,0.144689667,0.167212622,94.25570078,0.001535076
0.0042,0.864224553,0.150477321,0.17391278,90.82405194,0.0016568
0.0045,0.864074979,0.156096375,0.180419021,87.7413133,0.001779052
0.0048,0.863924385,0.161564629,0.186751887,84.95220275,0.00190183
0.0051,0.86377282,0.166897106,0.192928717,82.41284763,0.002025135
0.0054,0.863620324,0.17210662,0.1989643,80.08794736,0.00214897
0.0057,0.863466935,0.177204204,0.204871366,77.94895599,0.002273337
0.006,0.863312683,0.182199433,0.210660969,75.97240115,0.002398232
0.0063,0.863157594,0.187100683,0.216342772,74.1385691,0.002523662
0.0066,0.863001694,0.191915322,0.221925282,72.43118996,0.002649623
0.0069,0.862845002,0.196649879,0.227416033,70.83617513,0.002776122
0.0072,0.862687537,0.201310165,0.232821733,69.34190531,0.002903153
0.0075,0.862529316,0.20590138,0.238148383,67.93811315,0.00303072
0.0078,0.862370353,0.210428197,0.243401378,66.61597025,0.003158825
0.0081,0.862210661,0.214894835,0.248585586,65.36777036,0.003287474
0.0084,0.862050253,0.219305114,0.253705421,64.18714558,0.003416652
0.0087,0.861889139,0.22366251,0.258764894,63.06794145,0.003546374
0.009,0.861727329,0.227970194,0.263767664,62.0050331,0.00367664
0.0093,0.861564831,0.232231064,0.268717081,60.99396549,0.003807443
0.0096,0.861401655,0.236447784,0.273616218,60.0305395,0.003938792
0.0099,0.861237806,0.240622803,0.278467904,59.11110868,0.004070687
0.0102,0.861073293,0.244758378,0.283274748,58.23253844,0.004203121
0.0105,0.860908121,0.248856598,0.288039161,57.39167497,0.00433611
0.0108,0.860742296,0.252919399,0.292763379,56.58621259,0.004469629
0.0111,0.860575824,0.256948576,0.297449477,55.81342818,0.004603705
0.0114,0.860408708,0.260945801,0.302099387,55.0712965,0.004738327
0.0117,0.860240954,0.264912631,0.306714907,54.35772196,0.004873505
0.012,0.860072566,0.268850521,0.31129772,53.67112042,0.005009221
0.0123,0.859903548,0.272760829,0.315849395,53.00978163,0.005145481
0.0126,0.859733903,0.276644829,0.320371406,52.3719462,0.00528231
0.0129,0.859563635,0.280503715,0.324865133,51.75646498,0.005419685
0.0132,0.859392747,0.284338608,0.329331872,51.16211456,0.005557601
0.0135,0.859221241,0.288150564,0.333772845,50.58763426,0.005696067
