phi0,omega,M,Q,R_eff,C_eff
0,1,0,0,,0
0.0003,0.999939282,0.035168596,0.035135048,230.1360186,0.000152817
0.0006,0.99979149,0.050703712,0.05074796,193.6404271,0.000261845
0.0021,0.998931066,0.095944269,0.095868803,107.8310195,0.000889765
0.0024,0.998747674,0.102518975,0.102576838,98.39309647,0.001041933
0.0027,0.998561924,0.108935853,0.109005187,92.7594425,0.001174391
0.003,0.998374295,0.115037288,0.115118828,87.99310052,0.001307344
0.0033,0.998184984,0.12087124,0.120965703,83.89214316,0.001440793
0.0036,0.997994145,0.126474841,0.126582922,80.31479393,0.001574739
0.0039,0.997801902,0.131877576,0.13199995,77.15827919,0.001709182
0.0042,0.997608353,0.137103305,0.137240633,74.34605726,0.001844123
0.0045,0.997413579,0.142171655,0.142324586,71.81982023,0.00197956
0.0048,0.997217648,0.147098997,0.147268168,69.53392407,0.0021155
0.0051,0.997020617,0.151899153,0.152085191,67.45274045,0.002251935
0.0054,0.996822536,0.156583914,0.156787439,65.54724737,0.002388871
0.0057,0.996623444,0.161163434,0.161385058,63.79394115,0.002526313
0.006,0.99642338,0.165646529,0.165886857,62.17379757,0.00266425
0.0063,0.996222374,0.17004091,0.170300543,60.6706735,0.002802687
0.0066,0.996020455,0.174353367,0.174632899,59.27098861,0.002941631
0.0069,0.995817647,0.178589913,0.178889935,57.96339748,0.003081081
0.0072,0.995613971,0.182755902,0.183077,56.73844737,0.003221024
0.0075,0.995409447,0.186856126,0.187198884,55.58752109,0.003361476
0.0078,0.995204094,0.190894894,0.191259892,54.50353129,0.003502432
0.0081,0.994997926,0.194876095,0.195263911,53.48018609,0.003643893
0.0084,0.994790958,0.198803253,0.199214463,52.51207566,0.003785858
0.0087,0.994583202,0.202679574,0.203114751,51.5943232,0.003928331
0.009,0.994374671,0.206507981,0.206967697,50.72278241,0.004071306
0.0093,0.994165376,0.210291152,0.210775977,49.89354676,0.004214797
0.0096,0.993955326,0.214031542,0.214542046,49.10352964,0.004358781
0.0099,0.99374453,0.217731412,0.218268164,48.34946801,0.004503285
0.0102,0.993532997,0.221392848,0.221956415,47.62896777,0.004648282
0.0105,0.993320734,0.225017777,0.225608727,46.93939305,0.004793794
0.0108,0.993107749,0.228607988,0.229226886,46.27863403,0.004939817
0.0111,0.992894047,0.232165138,0.232812552,45.64479387,0.005086344
0.0114,0.992679637,0.235690774,0.236367269,45.03601115,0.005233385
0.0117,0.992464522,0.239186332,0.239892475,44.45077396,0.005380926
0.012,0.992248709,0.242653158,0.243389515,43.88743127,0.00552899
0.0123,0.992032202,0.246092508,0.246859645,43.34488013,0.005677545
0.0126,0.991815007,0.249505559,0.250304043,42.82166472,0.00582662
0.0129,0.991597127,0.252893416,0.253723814,42.31673932,0.005976203
0.0132,0.991378567,0.256257116,0.257119996,41.82896892,0.006126307
0.0135,0.991159331,0.259597634,0.260493565,41.35759692,0.006276903
0.0138,0.990939422,0.262915891,0.26384544,40.90140693,0.00642804
0.0141,0.990718844,0.266212752,0.26717649,40.45999253,0.006579654
0.0144,0.9904976,0.269489035,0.270487532,40.0322952,0.006731791
0.0147,0.990275694,0.272745514,0.27377934,39.6176426,0.006884446
0.015,0.990053128,0.27598292,0.277052647,39.21560642,0.007037579
0.0153,0.989829906,0.279201944,0.280308147,38.82520416,0.007191255
0.0156,0.989606029,0.282403245,0.283546495,38.44615121,0.007345423
0.0159,0.989381502,0.285587443,0.286768317,38.07763748,0.007500136
0.0162,0.989156325,0.28875513,0.289974204,37.71946836,0.007655334
0.0165,0.988930501,0.291906869,0.293164718,37.37107273,0.007811038
0.0168,0.988704034,0.295043192,0.296340396,37.03192754,0.007967265
0.0171,0.988476925,0.298164609,0.299501747,36.70165282,0.00812401
0.0174,0.988249175,0.301271603,0.302649255,36.38008063,0.008281224
0.0177,0.988020788,0.304364636,0.305783385,36.066554,0.008438972
0.018,0.987791765,0.307444148,0.308904576,35.76067046,0.00859727
0.0183,0.987562109,0.310510559,0.31201325,35.46256927,0.008756009
0.0186,0.98733182,0.313564269,0.315109809,35.17142936,0.008915312
0.0189,0.987100901,0.316605662,0.318194637,34.88723071,0.009075116
0.0192,0.986869353,0.319635103,0.321268102,34.60979152,0.009235395
0.0195,0.986637179,0.322652942,0.324330555,34.3386416,0.009396206
0.0198,0.98640438,0.325659514,0.327382331,34.07359623,0.009557533
0.0201,0.986170958,0.32865514,0.330423754,33.81445732,0.009719368
0.0204,0.985936913,0.331640126,0.33345513,33.5610145,0.009881707
0.0207,0.985702249,0.334614767,0.336476756,33.31304627,0.010044556
0.021,0.985466965,0.337579345,0.339488915,33.07032118,0.010207925
0.0213,0.985231065,0.340534129,0.342491879,32.83259905,0.01037183
0.0216,0.984994549,0.343479379,0.345485907,32.59997467,0.010536186
0.0219,0.984757419,0.346415343,0.34847125,32.37211056,0.010701043
0.0222,0.984519676,0.349342261,0.351448149,32.14858626,0.010866489
0.0225,0.984281322,0.352260361,0.354416833,31.92981199,0.011032334
0.0228,0.984042357,0.355169862,0.357377524,31.71505413,0.011198778
0.0231,0.983802785,0.358070978,0.360330434,31.50467834,0.011365645
0.0234,0.983562605,0.36096391,0.363275769,31.29798005,0.011533138
0.0237,0.98332182,0.363848853,0.366213725,31.09557449,0.011700985
0.024,0.98308043,0.366725996,0.36914449,30.89672912,0.011869412
0.0243,0.982838438,0.369595519,0.372068247,30.70137553,0.012038403
0.0246,0.982595844,0.372457594,0.37498517,30.50980456,0.0122078
0.0249,0.982352649,0.37531239,0.377895427,30.32165255,0.012377702
0.0252,0.982108856,0.378160066,0.380799181,30.13675754,0.012548134
0.0255,0.981864466,0.381000776,0.383696587,29.95505433,0.012719082
0.0258,0.981619479,0.38383467,0.386587794,29.77647343,0.012890535
0.0261,0.981373897,0.386661889,0.389472948,29.60094126,0.013062486
0.0264,0.981127722,0.389482572,0.392352186,29.42838041,0.013234931
0.0267,0.980880955,0.392296851,0.395225643,29.25870984,0.013407866
0.027,0.980633597,0.395104854,0.398093447,29.09184514,0.013581292
0.0273,0.98038565,0.397906702,0.400955722,28.92769882,0.013755215
0.0276,0.980137115,0.400702514,0.403812588,28.76618057,0.013929639
0.0279,0.979887994,0.403492403,0.406664159,28.60719755,0.014104576
0.0282,0.979638287,0.40627648,0.409510545,28.45065464,0.01428004
0.0285,0.979387996,0.409054848,0.412351854,28.29647002,0.014456038
0.0288,0.979137123,0.411827609,0.415188187,28.1449868,0.014632361
0.0291,0.978885669,0.414594861,0.418019644,27.99570479,0.014809231
0.0294,0.978633635,0.417356697,0.420846319,27.84852096,0.014986674
0.0297,0.978381023,0.420113208,0.423668303,27.70352138,0.015164614
0.03,0.978127835,0.42286448,0.426485685,27.56091925,0.015342902
0.0303,0.977874071,0.425610597,0.42929855,27.42015295,0.015521817
0.0306,0.977619733,0.428351639,0.432106977,27.28147127,0.015701193
0.0309,0.977364822,0.431087683,0.434911046,27.14491307,0.015880975
0.0312,0.977109341,0.433818803,0.437710832,27.00992283,0.01606146
0.0315,0.976853291,0.436545072,0.440506408,26.8773425,0.016242122
0.0318,0.976596672,0.439266556,0.443297842,26.74615046,0.016423543
0.0321,0.976339487,0.441983323,0.446085202,26.61714447,0.016605212
0.0324,0.976081738,0.444695435,0.448868552,26.48950988,0.016787605
0.0327,0.975823425,0.447402953,0.451647953,26.36399712,0.016970225
0.033,0.97556455,0.450105935,0.454423465,26.23970722,0.017153619
0.0333,0.975305115,0.452804437,0.457195144,26.11755623,0.017337167
0.0336,0.975045121,0.455498512,0.459963044,25.99666525,0.017521421
0.0339,0.97478457,0.458188212,0.462727218,25.8774581,0.017706075
0.0342,0.974523464,0.460873587,0.465487717,25.75986272,0.017891151
0.0345,0.974261805,0.463554682,0.468244586,25.64347227,0.018076908
0.0348,0.973999593,0.466231543,0.470997873,25.52890944,0.018262885
0.0351,0.97373683,0.468904213,0.473747621,25.41568115,0.018449406
0.0354,0.973473519,0.471572734,0.476493872,25.30363789,0.018636559
0.0357,0.973209661,0.474237143,0.479236666,25.19320994,0.018824006
0.036,0.972945258,0.47689748,0.48197604,25.08417529,0.019011886
0.0363,0.972680311,0.479553779,0.484712032,24.97629664,0.019200356
0.0366,0.972414822,0.482206074,0.487444675,24.86957081,0.019389401
0.0369,0.972148793,0.484854399,0.490174003,24.76443437,0.019578658
0.0372,0.971882226,0.487498782,0.492900047,24.66051195,0.019768397
0.0375,0.971615122,0.490139255,0.495622836,24.55770251,0.019958677
0.0378,0.971347484,0.492775843,0.498342398,24.45599979,0.020149487
0.0381,0.971079312,0.495408574,0.501058761,24.35539687,0.020340813
0.0384,0.97081061,0.498037472,0.503771948,24.25616046,0.020532412
0.0387,0.970541379,0.500662561,0.506481985,24.15808717,0.020724429
0.039,0.970271621,0.503283862,0.509188892,24.06106221,0.020916943
0.0393,0.970001337,0.505901395,0.511892691,23.96507591,0.021109943
0.0396,0.96973053,0.508515181,0.514593402,23.870118,0.021303421
0.0399,0.969459201,0.511125237,0.517291042,23.77617762,0.021497368
0.0402,0.969187354,0.513731581,0.519985629,23.68324334,0.021691775
0.0405,0.968914988,0.516334227,0.522677178,23.59130317,0.021886634
0.0408,0.968642108,0.51893319,0.525365705,23.50034459,0.02208194
0.0411,0.968368714,0.521528484,0.528051222,23.41035452,0.022277684
0.0414,0.968094809,0.52412012,0.530733741,23.32135675,0.022473826
0.0417,0.967820394,0.526708111,0.533413275,23.23333058,0.022670366
0.042,0.967545472,0.529292466,0.536089832,23.14620434,0.022867355
0.0423,0.967270046,0.531873194,0.538763423,23.05996309,0.02306479
0.0426,0.966994116,0.534450303,0.541434054,22.97459149,0.023262668
0.0429,0.966717685,0.537023801,0.544101734,22.89007379,0.02346099
0.0432,0.966440756,0.539593694,0.546766468,22.80639387,0.023659755
0.0435,0.966163331,0.542159987,0.54942826,22.7235698,0.023858927
0.0438,0.965885411,0.544722684,0.552087117,22.6416288,0.024058458
0.0441,0.965606999,0.54728179,0.554743039,22.56050014,0.024258407
0.0444,0.965328098,0.549837306,0.55739603,22.48016607,0.024458774
0.0447,0.965048709,0.552389234,0.560046092,22.40060854,0.024659564
0.045,0.964768835,0.554937577,0.562693225,22.32180921,0.02486078
0.0453,0.964488478,0.557482333,0.565337428,22.24374948,0.025062426
0.0456,0.96420764,0.560023503,0.567978701,22.16641051,0.02526451
0.0459,0.963926325,0.562561084,0.570617041,22.08977326,0.025467038
0.0462,0.963644533,0.565095076,0.573252448,22.01381846,0.025670016
0.0465,0.963362268,0.567625476,0.575884915,21.93852669,0.025873455
0.0468,0.963079531,0.570152279,0.578514441,21.86387838,0.026077362
0.0471,0.962796327,0.572675483,0.58114102,21.79019409,0.026281339
0.0474,0.962512655,0.575195082,0.583764647,21.71716985,0.026485729
0.0477,0.962228521,0.577711071,0.586385315,21.64475106,0.026690585
0.048,0.961943925,0.580223444,0.589003018,21.57291726,0.026895919
0.0483,0.96165887,0.582732195,0.591617747,21.50164795,0.027101746
0.0486,0.961373358,0.585237316,0.594229496,21.43092257,0.027308079
0.0489,0.961087394,0.587738799,0.596838256,21.36105506,0.027514502
0.0492,0.960800978,0.590236637,0.599444016,21.29188283,0.027721204
0.0495,0.960514113,0.59273082,0.602046767,21.223212,0.027928422
0.0498,0.960226802,0.595221338,0.604646499,21.15502154,0.028136173
0.0501,0.959939049,0.597708183,0.6072432,21.08729047,0.028344475
0.0504,0.959650854,0.600191344,0.609836859,21.02041338,0.028552785
0.0507,0.959362221,0.602670809,0.612427463,20.95416906,0.02876138
0.051,0.959073153,0.605146568,0.615015001,20.88833867,0.028970546
0.0513,0.958783652,0.607618608,0.617599458,20.82290104,0.029180305
0.0516,0.958493721,0.610086917,0.620180821,20.75809035,0.02939032
0.0519,0.958203363,0.612551482,0.622759076,20.69408733,0.029600314
0.0522,0.95791258,0.615012291,0.625334208,20.6304297,0.02981093
0.0525,0.957621376,0.617469329,0.627906202,20.56709635,0.030022193
0.0528,0.957329752,0.619922582,0.630475043,20.50444355,0.030233573
0.0531,0.957037712,0.622372037,0.633040714,20.44248562,0.030445028
0.0534,0.956745259,0.624817677,0.635603199,20.38080322,0.030657167
0.0537,0.956452396,0.627259489,0.638162481,20.31937555,0.030870018
0.054,0.956159124,0.629697457,0.640718543,20.25895722,0.031082422
0.0543,0.955865448,0.632131564,0.643271367,20.19883953,0.03129544
0.0546,0.95557137,0.634561794,0.645820935,20.13892697,0.031509216
0.0549,0.955276893,0.636988131,0.648367228,20.07972015,0.031722959
0.0552,0.95498202,0.639410559,0.650910228,20.02107678,0.031936872
0.0555,0.954686753,0.641829059,0.653449916,19.96258829,0.032151595
0.0558,0.954391097,0.644243614,0.655986272,19.90463804,0.032366507
0.0561,0.954095053,0.646654206,0.658519276,19.84737492,0.032581347
0.0564,0.953798625,0.649060818,0.661048908,19.79021604,0.032797056
0.0567,0.953501815,0.651463431,0.663575148,19.73356327,0.033012965
0.057,0.953204628,0.653862025,0.666097974,19.6775832,0.033228777
0.0573,0.952907065,0.656256584,0.668617365,19.62165661,0.033445524
0.0576,0.95260913,0.658647086,0.671133301,19.56633795,0.033662257
0.0579,0.952310826,0.661033514,0.673645759,19.51154112,0.033879103
0.0582,0.952012156,0.663415847,0.676154717,19.45674717,0.034096956
0.0585,0.951713124,0.665794065,0.678660153,19.40279484,0.034314338
0.0588,0.951413731,0.668168148,0.681162045,19.34907942,0.034532297
0.0591,0.951113982,0.670538077,0.683660369,19.29541585,0.03475116
0.0594,0.95081388,0.67290383,0.686155103,19.2427584,0.034969198
0.0597,0.950513427,0.675265387,0.688646224,19.19002109,0.035188361
0.06,0.950212627,0.677622727,0.691133708,19.13777989,0.035407593
0.0603,0.949911483,0.679975829,0.693617531,19.08604592,0.035626857
0.0606,0.949609999,0.682324673,0.696097669,19.03418253,0.035847333
0.0609,0.949308177,0.684669235,0.698574098,18.98338469,0.036066763
