,r,x,phi,psi,A,B,rho_eff,pr_eff,pt_eff,E1,E2,E3,E4,E5,E6
0,1e-06,1.2725546417908934e-07,0.2712,0.0,0.686915667455398,1.0,0.18725001890715737,0.040151138907157366,0.040151138907157366,0.18725001890715737,0.14709888,0.14709888,0.22740115781431475,0.22740115781431475,0.30770343562862945
1,0.10002100380076015,0.012728219266324193,0.27095327244162726,-0.004930996611086087,0.6870918013129441,1.0003119857107619,0.1868755872971311,0.040044235603477724,0.03999563647751675,0.1868755872971311,0.14683135169365338,0.14687995081961436,0.22691982290060883,0.22687122377464786,0.30691109585564236
2,0.2000410076015203,0.025456311277184205,0.27021460970972194,-0.009831768670181311,0.6876192518126079,1.0012451864090577,0.18575731409232793,0.0397254434911732,0.0395325967002184,0.18575731409232793,0.14603187060115475,0.14622471739210952,0.22548275758350111,0.22528991079254634,0.30454795098393794
3,0.3000610114022804,0.03818440328804421,0.2689885299271385,-0.014672431931710351,0.6884951926087313,1.002791379374044,0.18391009995429192,0.03920044148956575,0.03877227466028599,0.18391009995429192,0.14470965846472617,0.14513782529400593,0.22311054144385767,0.2226823746145779,0.30065509076442964
4,0.40008101520304057,0.05091249529890422,0.2672825229978515,-0.01942353692462704,0.6897149323251508,1.0049368917835522,0.18135838623261885,0.03847849203242483,0.03773133988793141,0.18135838623261885,0.14287989420019404,0.14362704634468743,0.21983687826504367,0.21908972612055028,0.29529955804090646
5,0.5001010190038008,0.06364058730976424,0.26510698992916276,-0.024056363918486555,0.6912719438198046,1.007662653214802,0.17813557966874494,0.03757214745014252,0.036432266120418624,0.17813557966874494,0.1405634322186024,0.14170331354832633,0.21570772711888747,0.21456784578916355,0.28857225935972475
6,0.6001210228045609,0.07636867932062426,0.2624751574115305,-0.028543172135747665,0.6931579060799642,1.0109442788234,0.17428327476628486,0.03649685824986944,0.03490252159377556,0.17428327476628486,0.13778641651641543,0.1393807531725093,0.21078013301615428,0.2091857963600604,0.2805851762037054
7,0.7001410266053211,0.08909677133148428,0.2594029672849612,-0.03285745265375223,0.6953627595739726,1.0147521921825482,0.16985030007644233,0.03527050120395703,0.03317360090893526,0.16985030007644233,0.1345797988724853,0.13667669916750708,0.20512080128039936,0.2030239009853776,0.2714680030982699
8,0.8001610304060812,0.10182486334234428,0.255908940555656,-0.036974184170010124,0.6978747759829229,1.0190517983235043,0.16489162006077662,0.03391284834814007,0.03127994645682558,0.16489162006077662,0.13097877171263655,0.13361167360395104,0.1988044684089167,0.1961715665176022,0.26136436132256785
9,0.9001810342068414,0.1145529553532043,0.25201401576333793,-0.040870089700733546,0.7006806432342032,1.023803718308361,0.15946712822301828,0.03244499994069042,0.02925781127412505,0.15946712822301828,0.12702212828232787,0.13020931694889323,0.1919121281637087,0.18872493949714333,0.2504277507119588
