phi0,omega,M,Q,R_eff,C_eff
0,1,0,0,,0
0.001,0.99958,0.06471,0.06472,152.23964,0.00043
0.002,0.999,0.0911,0.09114,107.63511,0.00085
0.003,0.99841,0.11089,0.11096,87.80046,0.00126
0.004,0.9978,0.12727,0.12738,75.96581,0.00168
0.005,0.99719,0.14143,0.14158,67.88223,0.00208
0.006,0.99657,0.15399,0.15419,61.90992,0.00249
0.007,0.99596,0.16533,0.16558,57.26455,0.00289
0.008,0.99534,0.17569,0.17599,53.51682,0.00328
0.009,0.99473,0.18523,0.1856,50.40994,0.00367
0.01,0.99412,0.19409,0.19451,47.77972,0.00406
0.011,0.99351,0.20236,0.20284,45.51487,0.00445
0.012,0.9929,0.21012,0.21066,43.5381,0.00483
0.013,0.99229,0.21742,0.21801,41.79291,0.0052
0.014,0.99169,0.22431,0.22497,40.23698,0.00557
0.015,0.99109,0.23083,0.23155,38.83815,0.00594
0.016,0.99049,0.23702,0.2378,37.57198,0.00631
0.017,0.98989,0.2429,0.24375,36.41865,0.00667
0.018,0.9893,0.24851,0.24942,35.36184,0.00703
0.019,0.98871,0.25385,0.25483,34.38913,0.00738
0.02,0.98813,0.25896,0.26001,33.48961,0.00773
0.021,0.98754,0.26385,0.26496,32.65471,0.00808
0.022,0.98696,0.26853,0.2697,31.87704,0.00842
0.023,0.98638,0.27301,0.27426,31.15017,0.00876
0.024,0.98581,0.27732,0.27863,30.46866,0.0091
0.025,0.98523,0.28145,0.28283,29.82836,0.00944
0.026,0.98467,0.28542,0.28686,29.22474,0.00977
0.027,0.9841,0.28925,0.29075,28.65515,0.01009
0.028,0.98353,0.29292,0.29449,28.11576,0.01042
0.029,0.98297,0.29646,0.2981,27.60435,0.01074
0.03,0.98242,0.29987,0.30157,27.11836,0.01106
0.031,0.98186,0.30316,0.30492,26.65602,0.01137
0.032,0.98131,0.30633,0.30816,26.21507,0.01169
0.033,0.98076,0.30939,0.31128,25.79426,0.01199
0.034,0.98021,0.31234,0.3143,25.39217,0.0123
0.035,0.97967,0.31519,0.31721,25.00724,0.0126
0.036,0.97913,0.31794,0.32002,24.63782,0.0129
0.037,0.97859,0.3206,0.32274,24.28406,0.0132
0.038,0.97806,0.32317,0.32537,23.94387,0.0135
0.039,0.97752,0.32566,0.32791,23.61663,0.01379
0.04,0.977,0.32806,0.33037,23.3017,0.01408
0.041,0.97647,0.33038,0.33275,22.99835,0.01437
0.042,0.97594,0.33262,0.33506,22.70578,0.01465
0.043,0.97542,0.33479,0.33728,22.42316,0.01493
0.044,0.9749,0.33689,0.33944,22.15025,0.01521
0.045,0.97439,0.33893,0.34153,21.88658,0.01549
0.046,0.97387,0.34089,0.34355,21.63121,0.01576
0.047,0.97336,0.3428,0.34551,21.38402,0.01603
0.048,0.97285,0.34464,0.34741,21.14478,0.0163
0.049,0.97235,0.34642,0.34924,20.91258,0.01657
0.05,0.97184,0.34815,0.35102,20.68721,0.01683
0.051,0.97134,0.34982,0.35274,20.46845,0.01709
0.052,0.97084,0.35144,0.35441,20.25605,0.01735
0.053,0.97035,0.353,0.35603,20.04973,0.01761
0.054,0.96985,0.35452,0.35759,19.8492,0.01786
0.055,0.96936,0.35599,0.35911,19.65414,0.01811
0.056,0.96887,0.35741,0.36057,19.46425,0.01836
0.057,0.96839,0.35878,0.36199,19.27917,0.01861
0.058,0.9679,0.36011,0.36337,19.09857,0.01886
0.059,0.96742,0.3614,0.3647,18.92317,0.0191
0.06,0.96694,0.36264,0.36599,18.75193,0.01934
0.061,0.96646,0.36385,0.36724,18.58436,0.01958
0.062,0.96599,0.36502,0.36845,18.42173,0.01981
0.063,0.96551,0.36615,0.36962,18.2621,0.02005
0.064,0.96504,0.36724,0.37076,18.10697,0.02028
0.065,0.96457,0.3683,0.37185,17.95452,0.02051
0.066,0.96411,0.36932,0.37291,17.80652,0.02074
0.067,0.96364,0.37031,0.37394,17.66111,0.02097
0.068,0.96318,0.37126,0.37493,17.51911,0.02119
0.069,0.96272,0.37218,0.37589,17.3804,0.02141
0.07,0.96226,0.37307,0.37682,17.24422,0.02163
0.071,0.96181,0.37394,0.37772,17.11096,0.02185
0.072,0.96135,0.37477,0.37859,16.98094,0.02207
0.073,0.9609,0.37557,0.37942,16.85332,0.02228
0.074,0.96045,0.37635,0.38023,16.72808,0.0225
0.075,0.96,0.3771,0.38101,16.6052,0.02271
0.076,0.95955,0.37782,0.38177,16.48505,0.02292
0.077,0.95911,0.37851,0.38249,16.36741,0.02313
0.078,0.95867,0.37918,0.38319,16.25193,0.02333
0.079,0.95823,0.37983,0.38387,16.13858,0.02354
0.08,0.95779,0.38045,0.38452,16.02731,0.02374
0.081,0.95735,0.38105,0.38515,15.91808,0.02394
0.082,0.95692,0.38163,0.38575,15.81083,0.02414
0.083,0.95648,0.38219,0.38633,15.70553,0.02433
0.084,0.95605,0.38272,0.38689,15.6021,0.02453
0.085,0.95562,0.38323,0.38743,15.50049,0.02472
0.086,0.95519,0.38372,0.38794,15.40065,0.02492
0.087,0.95477,0.38419,0.38844,15.30251,0.02511
0.088,0.95434,0.38465,0.38891,15.20601,0.0253
0.089,0.95392,0.38508,0.38937,15.11109,0.02548
0.09,0.9535,0.38549,0.3898,15.01767,0.02567
0.091,0.95308,0.38589,0.39022,14.92569,0.02585
0.092,0.95266,0.38627,0.39062,14.83565,0.02604
0.093,0.95225,0.38663,0.391,14.74712,0.02622
0.094,0.95183,0.38698,0.39136,14.65989,0.0264
0.095,0.95142,0.3873,0.3917,14.5739,0.02658
0.096,0.95101,0.38762,0.39203,14.48906,0.02675
0.097,0.9506,0.38791,0.39235,14.40532,0.02693
0.098,0.95019,0.38819,0.39264,14.32366,0.0271
0.099,0.94978,0.38846,0.39292,14.24306,0.02727
0.1,0.94938,0.38871,0.39319,14.16339,0.02744
0.101,0.94898,0.38895,0.39344,14.08458,0.02762
0.102,0.94857,0.38917,0.39367,14.00749,0.02778
0.103,0.94817,0.38938,0.3939,13.93162,0.02795
0.104,0.94777,0.38958,0.3941,13.85644,0.02812
0.105,0.94738,0.38976,0.3943,13.78197,0.02828
0.106,0.94698,0.38993,0.39448,13.70959,0.02844
0.107,0.94659,0.39009,0.39465,13.63772,0.0286
0.108,0.94619,0.39024,0.3948,13.56629,0.02877
0.109,0.9458,0.39037,0.39494,13.4968,0.02892
0.11,0.94541,0.39049,0.39507,13.4279,0.02908
0.111,0.94502,0.3906,0.39519,13.35928,0.02924
0.112,0.94463,0.3907,0.3953,13.29269,0.02939
0.113,0.94425,0.39079,0.39539,13.22642,0.02955
0.114,0.94386,0.39087,0.39547,13.16062,0.0297
0.115,0.94348,0.39094,0.39555,13.09663,0.02985
0.116,0.94309,0.391,0.39561,13.03263,0.03
0.117,0.94271,0.39105,0.39566,12.9699,0.03015
0.118,0.94233,0.39108,0.3957,12.90797,0.0303
0.119,0.94195,0.39111,0.39573,12.84618,0.03045
0.12,0.94158,0.39113,0.39575,12.78624,0.03059
0.121,0.9412,0.39114,0.39576,12.72601,0.03074
0.122,0.94083,0.39115,0.39576,12.66738,0.03088
0.123,0.94045,0.39114,0.39576,12.60892,0.03102
0.124,0.94008,0.39112,0.39574,12.55133,0.03116
0.125,0.93971,0.3911,0.39571,12.49455,0.0313
0.126,0.93934,0.39107,0.39568,12.43804,0.03144
0.127,0.93897,0.39103,0.39564,12.38282,0.03158
0.128,0.9386,0.39098,0.39559,12.32744,0.03172
0.129,0.93823,0.39092,0.39553,12.27367,0.03185
0.13,0.93787,0.39086,0.39546,12.21944,0.03199
0.131,0.9375,0.39079,0.39539,12.16702,0.03212
0.132,0.93714,0.39071,0.3953,12.11396,0.03225
0.133,0.93678,0.39063,0.39521,12.06277,0.03238
0.134,0.93642,0.39054,0.39512,12.01092,0.03252
0.135,0.93606,0.39044,0.39501,11.96084,0.03264
0.136,0.9357,0.39034,0.3949,11.91022,0.03277
0.137,0.93534,0.39023,0.39478,11.86114,0.0329
0.138,0.93498,0.39011,0.39466,11.81176,0.03303
0.139,0.93462,0.38999,0.39452,11.76356,0.03315
0.14,0.93427,0.38986,0.39439,11.71545,0.03328
0.141,0.93392,0.38972,0.39424,11.66801,0.0334
0.142,0.93356,0.38958,0.39409,11.62118,0.03352
0.143,0.93321,0.38944,0.39393,11.57439,0.03365
0.144,0.93286,0.38928,0.39377,11.52883,0.03377
0.145,0.93251,0.38913,0.3936,11.48257,0.03389
0.146,0.93216,0.38896,0.39343,11.43831,0.03401
0.147,0.93181,0.3888,0.39325,11.39333,0.03412
0.148,0.93146,0.38862,0.39306,11.34949,0.03424
0.149,0.93112,0.38845,0.39287,11.30584,0.03436
0.15,0.93077,0.38826,0.39267,11.26227,0.03447
0.151,0.93043,0.38808,0.39247,11.21994,0.03459
0.152,0.93008,0.38789,0.39227,11.17696,0.0347
0.153,0.92974,0.38769,0.39206,11.13553,0.03482
0.154,0.9294,0.38749,0.39184,11.09389,0.03493
0.155,0.92906,0.38728,0.39162,11.05248,0.03504
0.156,0.92872,0.38707,0.39139,11.01219,0.03515
0.157,0.92838,0.38686,0.39116,10.97129,0.03526
0.158,0.92804,0.38664,0.39093,10.93172,0.03537
0.159,0.9277,0.38642,0.39069,10.89219,0.03548
0.16,0.92736,0.3862,0.39045,10.85237,0.03559
0.161,0.92703,0.38597,0.3902,10.81419,0.03569
0.162,0.92669,0.38574,0.38995,10.77546,0.0358
0.163,0.92636,0.3855,0.38969,10.73718,0.0359
0.164,0.92602,0.38526,0.38943,10.69981,0.03601
0.165,0.92569,0.38502,0.38917,10.66191,0.03611
0.166,0.92536,0.38477,0.3889,10.62503,0.03621
0.167,0.92503,0.38452,0.38863,10.5885,0.03632
0.168,0.9247,0.38427,0.38836,10.55147,0.03642
0.169,0.92437,0.38401,0.38808,10.51581,0.03652
0.17,0.92404,0.38375,0.3878,10.48016,0.03662
0.171,0.92371,0.38349,0.38752,10.44402,0.03672
0.172,0.92338,0.38323,0.38723,10.40942,0.03682
0.173,0.92305,0.38296,0.38694,10.37467,0.03691
0.174,0.92273,0.38269,0.38664,10.33945,0.03701
0.175,0.9224,0.38241,0.38635,10.30576,0.03711
0.176,0.92207,0.38214,0.38605,10.27192,0.0372
0.177,0.92175,0.38186,0.38574,10.23764,0.0373
0.178,0.92143,0.38158,0.38544,10.2047,0.03739
0.179,0.9211,0.38129,0.38513,10.1718,0.03749
0.18,0.92078,0.38101,0.38482,10.13847,0.03758
0.181,0.92046,0.38072,0.3845,10.10611,0.03767
0.182,0.92014,0.38042,0.38419,10.07416,0.03776
0.183,0.91982,0.38013,0.38387,10.0418,0.03785
0.184,0.9195,0.37984,0.38354,10.00986,0.03795
0.185,0.91918,0.37954,0.38322,9.97887,0.03803
0.186,0.91886,0.37924,0.38289,9.94749,0.03812
0.187,0.91854,0.37893,0.38256,9.91583,0.03822
0.188,0.91822,0.37863,0.38223,9.8858,0.0383
0.189,0.91791,0.37832,0.3819,9.85541,0.03839
0.19,0.91759,0.37802,0.38156,9.82465,0.03848
0.191,0.91727,0.37771,0.38122,9.79481,0.03856
0.192,0.91696,0.37739,0.38088,9.76541,0.03865
0.193,0.91664,0.37708,0.38054,9.73566,0.03873
0.194,0.91633,0.37677,0.38019,9.70575,0.03882
0.195,0.91602,0.37645,0.37985,9.67734,0.0389
0.196,0.9157,0.37613,0.3795,9.6486,0.03898
0.197,0.91539,0.37581,0.37915,9.61952,0.03907
0.198,0.91508,0.37549,0.3788,9.59105,0.03915
0.199,0.91477,0.37516,0.37844,9.56332,0.03923
0.2,0.91446,0.37484,0.37809,9.53526,0.03931
0.201,0.91415,0.37451,0.37773,9.50688,0.03939
0.202,0.91384,0.37418,0.37737,9.47967,0.03947
0.203,0.91353,0.37386,0.37701,9.45263,0.03955
0.204,0.91322,0.37352,0.37665,9.4253,0.03963
0.205,0.91291,0.37319,0.37628,9.39765,0.03971
0.206,0.9126,0.37286,0.37592,9.37147,0.03979
0.207,0.9123,0.37253,0.37555,9.34517,0.03986
0.208,0.91199,0.37219,0.37518,9.31857,0.03994
0.209,0.91168,0.37185,0.37481,9.29167,0.04002
0.21,0.91138,0.37152,0.37444,9.26634,0.04009
0.211,0.91107,0.37118,0.37407,9.24078,0.04017
0.212,0.91077,0.37084,0.37369,9.21494,0.04024
0.213,0.91046,0.3705,0.37332,9.18882,0.04032
0.214,0.91016,0.37015,0.37294,9.16413,0.04039
0.215,0.90985,0.36981,0.37256,9.13933,0.04046
0.216,0.90955,0.36947,0.37219,9.11427,0.04054
0.217,0.90925,0.36912,0.37181,9.08894,0.04061
0.218,0.90894,0.36878,0.37142,9.06469,0.04068
0.219,0.90864,0.36843,0.37104,9.04067,0.04075
0.22,0.90834,0.36808,0.37066,9.0164,0.04082
0.221,0.90804,0.36773,0.37028,8.99187,0.0409
0.222,0.90774,0.36738,0.36989,8.96786,0.04097
0.223,0.90744,0.36703,0.3695,8.94463,0.04103
0.224,0.90714,0.36668,0.36912,8.92116,0.0411
0.225,0.90684,0.36633,0.36873,8.89744,0.04117
0.226,0.90654,0.36598,0.36834,8.87349,0.04124
0.227,0.90624,0.36563,0.36795,8.85104,0.04131
0.228,0.90594,0.36527,0.36756,8.82838,0.04138
0.229,0.90564,0.36492,0.36717,8.80549,0.04144
0.23,0.90534,0.36457,0.36678,8.78237,0.04151
0.231,0.90505,0.36421,0.36639,8.75975,0.04158
0.232,0.90475,0.36386,0.36599,8.73789,0.04164
0.233,0.90445,0.3635,0.3656,8.71583,0.04171
0.234,0.90415,0.36314,0.3652,8.69354,0.04177
0.235,0.90386,0.36279,0.36481,8.67104,0.04184
0.236,0.90356,0.36243,0.36441,8.64952,0.0419
0.237,0.90327,0.36207,0.36401,8.62828,0.04196
0.238,0.90297,0.36171,0.36362,8.60683,0.04203
0.239,0.90268,0.36135,0.36322,8.58518,0.04209
0.24,0.90238,0.361,0.36282,8.56332,0.04216
0.241,0.90209,0.36064,0.36242,8.54267,0.04222
0.242,0.90179,0.36028,0.36202,8.52205,0.04228
0.243,0.9015,0.35992,0.36162,8.50125,0.04234
0.244,0.9012,0.35956,0.36122,8.48024,0.0424
0.245,0.90091,0.3592,0.36082,8.45904,0.04246
0.246,0.90062,0.35883,0.36042,8.43902,0.04252
0.247,0.90033,0.35847,0.36002,8.41905,0.04258
0.248,0.90003,0.35811,0.35962,8.39891,0.04264
0.249,0.89974,0.35775,0.35921,8.37857,0.0427
0.25,0.89945,0.35739,0.35881,8.35805,0.04276
0.251,0.89916,0.35703,0.35841,8.33841,0.04282
0.252,0.89887,0.35666,0.358,8.31911,0.04287
0.253,0.89857,0.3563,0.3576,8.29963,0.04293
0.254,0.89828,0.35594,0.3572,8.27998,0.04299
0.255,0.89799,0.35558,0.35679,8.26015,0.04305
0.256,0.8977,0.35521,0.35639,8.24067,0.04311
0.257,0.89741,0.35485,0.35598,8.22204,0.04316
0.258,0.89712,0.35449,0.35558,8.20324,0.04321
0.259,0.89683,0.35413,0.35517,8.18428,0.04327
0.26,0.89654,0.35376,0.35477,8.16515,0.04333
