,r,x,phi,psi,A,B,F_hydro,F_metric,F_aniso,F_zeta
0,1e-06,1.1020964780364762e-07,0.3032,0.0,0.6870602231882516,1.0,-3.698914747204962e-06,8.320635481845196e-07,0.0006836153082848379,-1.3660949683223095e-06
1,0.10002100380076015,0.011023279601849076,0.30299310470271573,-0.0041354532628982595,0.6871923530260098,1.0002340127940672,-0.0008726462467016638,0.0008174463389995464,0.0006836153082848379,-0.0006256010008287745
2,0.2000410076015203,0.02204644899405035,0.3023733769433989,-0.008251881370288032,0.6875882060717857,1.0009344983289903,-0.001730626349739403,0.0016229071307529799,0.0013590504972489988,-0.0012457754515268083
3,0.3000610114022804,0.03306961838625162,0.301343660584088,-0.012330455844858252,0.6882461911977796,1.0020968299719597,-0.0025597002609811514,0.0024047226794563195,0.002018316685857885,-0.0018551850203728688
4,0.40008101520304057,0.044092787778452894,0.29990867640307495,-0.0163525348427795,0.6891636645992123,1.0037133097725461,-0.0033464201611063255,0.003151832238225639,0.0026537673575079135,-0.002448635185536006
5,0.5001010190038008,0.05511595717065417,0.29807499353301364,-0.020299819836744348,0.6903369420511437,1.0057731896799917,-0.004078500687925021,0.00385405746599066,0.00325826579682728,-0.0030211535448728833
6,0.6001210228045609,0.06613912656285545,0.29585098929954146,-0.02415447230410428,0.691761316367836,1.0082627043598167,-0.004745135770398826,0.004502345265509593,0.0038253295270496597,-0.003568058298022104
7,0.7001410266053211,0.07716229595505672,0.2932467973115309,-0.027899231963368284,0.6934310803413436,1.0111651185594779,-0.005337259403484285,0.005088969854150214,0.004349254290163139,-0.004085022018983087
8,0.8001610304060812,0.08818546534725799,0.2902742436500324,-0.031517536476751054,0.695339555481384,1.0144607925769278,-0.00584774165509961,0.005607687650604293,0.004825214113453664,-0.004568129614149124
9,0.9001810342068414,0.09920863473945926,0.2869467710264634,-0.03499364223453992,0.6974791268997866,1.0181272698084691,-0.006271514274867773,0.006053840749261497,0.005249334981840681,-0.0050139294208652666
10,1.0002010380076014,0.11023180413166053,0.28327935083366895,-0.03831274548665816,0.6998412846775054,1.022139390557091,-0.006605623534207544,0.006424407072523024,0.005618740686907974,-0.0054194764760017895
11,1.1002210418083616,0.1212549735238618,0.2792883831108823,-0.0414611027059762,0.7024166720106509,1.0264694362119626,-0.0068492112112730485,0.006717997626833206,0.005931570500955701,-0.005782367088806913
12,1.2002410456091217,0.13227814291606307,0.27499158456786643,-0.04442614865922842,0.7051951403638839,1.0310873075670277,-0.0070034277398125094,0.00693480350026641,0.0061869693719808945,-0.006100763977722459
13,1.3002610494098819,0.14330131230826434,0.27040786499430125,-0.04719661026504523,0.7081658117470687,1.0359607403581055,-0.007071284322623557,0.007076497227287282,0.0063850523116928,-0.006373411387091735
