,r,x,phi,psi,A,B,F_hydro,F_metric,F_aniso,F_zeta
0,1e-05,3.6211109628415833e-07,0.0571,0.0,0.9569283791266044,1.0,2.0693103758295806e-09,5.362691550388859e-11,5.431617056039935e-07,-2.499684900290305e-09
1,0.10003000200040008,0.003622197368567142,0.05709417043403285,-0.00011654713780702247,0.956930702626141,1.0000043696202032,4.599058802309472e-06,1.884076622306408e-07,5.431617056039935e-07,-5.330413249241318e-06
2,0.20005000400080017,0.007244032626038,0.057076689595298616,-0.00023297209994384247,0.9569376704806718,1.000017470795062,9.191224803987465e-06,3.764265068541111e-07,1.0852107338524926e-06,-1.0652433090467329e-05
3,0.30007000600120026,0.01086586788350886,0.05704757405590892,-0.00034917627206892146,0.9569492775482925,1.0000392857254017,1.377054300216729e-05,5.63706847041445e-07,1.6251472969814134e-06,-1.5958755861472315e-05
4,0.40009000800160033,0.014487703140979717,0.05700685139445434,-0.0004650498740930585,0.9569655152699642,1.000069784794639,1.8330633546854297e-05,7.49882980132906e-07,2.1619255599506446e-06,-2.124159101934182e-05
5,0.5001100100020004,0.018109538398450573,0.05695456013529615,-0.0005804838544613231,0.9569863716851847,1.000108926640615,2.2865168800391585e-05,9.345934139989163e-07,2.6945120263574195e-06,-2.6493216761605334e-05
6,0.6001300120024005,0.02173137365592143,0.05689074966375098,-0.000695370128484201,0.9570118314539144,1.0001566582557277,2.7367890430650584e-05,1.1174822314912864e-06,3.221889527725212e-06,-3.170600247268335e-05
7,0.7001500140028005,0.025353208913392287,0.05681548011762308,-0.0008096018128431764,0.9570418758846367,1.0002129151150239,3.183262619643398e-05,1.2982004200933434e-06,3.7430611084897716e-06,-3.6872430719005156e-05
8,0.8001700160032006,0.028975044170863145,0.056728822255506635,-0.0009230734553582659,0.9570764829684599,1.000277621331782,3.6253306375667003e-05,1.4764071596888203e-06,4.257053782457633e-06,-4.1985118716610854e-05
9,0.9001900180036007,0.032596879428334,0.056630857302385915,-0.0010356812591361684,0.9571156274191436,1.0003506898400008,4.062397976971506e-05,1.6517710608530893e-06,4.762922137722422e-06,-4.703683917415693e-05
10,1.000210020004001,0.03621871468580487,0.05652167677312916,-0.0011473233002497632,0.9571592807189148,1.000432022603116,4.493882921978096e-05,1.8239713466331214e-06,5.2597517684200356e-06,-5.202054041882908e-05
11,1.100230022004401,0.039840549943275724,0.05640138227456814,-0.001257899738140679,0.9572074111699221,1.0005215108481804,4.9192186572058136e-05,1.992698971182261e-06,5.746662513322991e-06,-5.6929365715024816e-05
12,1.200250024004801,0.043462385200746585,0.05627008528692562,-0.0013673130179791273,0.9572599839511562,1.0006190353246367,5.3378547029567236e-05,2.157657668877236e-06,6.22281148300363e-06,-6.175667168871617e-05
13,1.3002700260052011,0.04708422045821744,0.05612790692544989,-0.0014754680642696048,0.9573169611806402,1.0007244665867223,5.749258284121119e-05,2.3185649289157696e-06,6.68739585928025e-06,-6.649604578799718e-05
14,1.4002900280056012,0.0507060557156883,0.05597497768312299,-0.0015822724650264544,0.9573783019827039,1.000837665298513,6.152915626651736e-05,2.4751528899838196e-06,7.139655452514819e-06,-7.114132269690846e-05
15,1.5003100300060013,0.054327890973159154,0.0558114371554834,-0.0016876366459295396,0.957443962560095,1.000958482560429,6.548333177519398e-05,2.627169151224673e-06,7.578875004774791e-06,-7.568659964735611e-05
16,1.6003300320064013,0.057949726230630015,0.055637433748505494,-0.001791474033882091,0.9575138962707287,1.0010867602561149,6.935038743107868e-05,2.774377495673867e-06,8.004386228612787e-06,-8.012625056379478e-05
17,1.7003500340068014,0.06157156148810087,0.05545312437071738,-0.0018937012095127707,0.9575880537087919,1.0012223314183464,7.312582541603094e-05,2.916558523235587e-06,8.415569574025744e-06,-8.445493898470144e-05
18,1.8003700360072015,0.06519339674557173,0.05525867411061866,-0.0019942380481741554,0.9576663827899723,1.0013650206127265,7.68053816762003e-05,3.0535101917957657e-06,8.811855717931922e-06,-8.866762974048582e-05
