phi0,omega,M,Q,R_eff,C_eff
0.1605,0.54713,0.5338,0.93007,21.48632,0.02484
0.16125,0.54703,0.53335,0.92925,21.42867,0.02489
0.162,0.54692,0.5329,0.92843,21.37156,0.02494
0.16275,0.54682,0.53245,0.92761,21.3146,0.02498
0.1635,0.54671,0.532,0.92678,21.25809,0.02503
0.16425,0.54661,0.53155,0.92594,21.20214,0.02507
0.165,0.5465,0.53109,0.92511,21.14632,0.02511
0.16575,0.5464,0.53063,0.92426,21.09096,0.02516
0.1665,0.54629,0.53017,0.92342,21.03612,0.0252
0.16725,0.54619,0.52971,0.92257,20.98136,0.02525
0.168,0.54609,0.52924,0.92172,20.92718,0.02529
0.16875,0.54598,0.52878,0.92086,20.87336,0.02533
0.1695,0.54588,0.52831,0.92,20.8196,0.02538
0.17025,0.54577,0.52784,0.91914,20.7666,0.02542
0.171,0.54567,0.52736,0.91827,20.71374,0.02546
0.17175,0.54557,0.52689,0.9174,20.66108,0.0255
0.1725,0.54546,0.52641,0.91652,20.6091,0.02554
0.17325,0.54536,0.52594,0.91565,20.55712,0.02558
0.174,0.54526,0.52546,0.91477,20.50568,0.02563
0.17475,0.54515,0.52498,0.91388,20.45454,0.02567
0.1755,0.54505,0.5245,0.913,20.40346,0.02571
0.17625,0.54495,0.52401,0.91211,20.35316,0.02575
0.177,0.54485,0.52353,0.91122,20.30279,0.02579
0.17775,0.54474,0.52304,0.91032,20.25295,0.02583
0.1785,0.54464,0.52255,0.90942,20.20337,0.02586
0.17925,0.54454,0.52206,0.90852,20.15391,0.0259
0.18,0.54444,0.52157,0.90762,20.10511,0.02594
0.18075,0.54434,0.52108,0.90671,20.05619,0.02598
0.1815,0.54423,0.52059,0.90581,20.00798,0.02602
0.18225,0.54413,0.52009,0.9049,19.95979,0.02606
0.183,0.54403,0.5196,0.90398,19.91198,0.02609
0.18375,0.54393,0.5191,0.90307,19.8645,0.02613
0.1845,0.54383,0.5186,0.90215,19.81711,0.02617
0.18525,0.54373,0.51811,0.90123,19.77031,0.02621
0.186,0.54363,0.51761,0.90031,19.72334,0.02624
0.18675,0.54352,0.5171,0.89939,19.67721,0.02628
0.1875,0.54342,0.5166,0.89846,19.63087,0.02632
0.18825,0.54332,0.5161,0.89753,19.58518,0.02635
0.189,0.54322,0.5156,0.8966,19.53946,0.02639
0.18975,0.54312,0.51509,0.89567,19.4942,0.02642
0.1905,0.54302,0.51459,0.89474,19.44909,0.02646
0.19125,0.54292,0.51408,0.8938,19.40427,0.02649
0.192,0.54282,0.51357,0.89286,19.35974,0.02653
0.19275,0.54272,0.51306,0.89192,19.31537,0.02656
0.1935,0.54262,0.51255,0.89098,19.2714,0.0266
0.19425,0.54252,0.51204,0.89004,19.22748,0.02663
0.195,0.54242,0.51153,0.8891,19.18405,0.02666
0.19575,0.54232,0.51102,0.88815,19.14059,0.0267
0.1965,0.54222,0.51051,0.88721,19.09767,0.02673
0.19725,0.54212,0.51,0.88626,19.05467,0.02676
0.198,0.54202,0.50948,0.88531,19.01226,0.0268
0.19875,0.54192,0.50897,0.88436,18.96972,0.02683
0.1995,0.54182,0.50845,0.88341,18.92778,0.02686
0.20025,0.54172,0.50794,0.88245,18.88571,0.0269
0.201,0.54162,0.50742,0.8815,18.84422,0.02693
0.20175,0.54152,0.50691,0.88054,18.80263,0.02696
0.2025,0.54142,0.50639,0.87959,18.76157,0.02699
0.20325,0.54132,0.50587,0.87863,18.72046,0.02702
0.204,0.54122,0.50535,0.87767,18.6798,0.02705
0.20475,0.54112,0.50484,0.87671,18.63917,0.02708
0.2055,0.54103,0.50432,0.87575,18.5989,0.02712
0.20625,0.54093,0.5038,0.87479,18.55876,0.02715
0.207,0.54083,0.50328,0.87382,18.51884,0.02718
0.20775,0.54073,0.50276,0.87286,18.47919,0.02721
0.2085,0.54063,0.50224,0.8719,18.43961,0.02724
0.20925,0.54053,0.50172,0.87093,18.40046,0.02727
0.21,0.54043,0.5012,0.86996,18.3612,0.0273
0.21075,0.54034,0.50068,0.869,18.32253,0.02733
0.2115,0.54024,0.50015,0.86803,18.28356,0.02736
0.21225,0.54014,0.49963,0.86706,18.2454,0.02738
0.213,0.54004,0.49911,0.86609,18.20692,0.02741
0.21375,0.53994,0.49859,0.86512,18.16904,0.02744
0.2145,0.53984,0.49806,0.86415,18.13106,0.02747
0.21525,0.53975,0.49754,0.86318,18.09342,0.0275
0.216,0.53965,0.49702,0.86221,18.05595,0.02753
0.21675,0.53955,0.4965,0.86124,18.01853,0.02755
0.2175,0.53945,0.49597,0.86027,17.98157,0.02758
0.21825,0.53935,0.49545,0.85929,17.94435,0.02761
0.219,0.53926,0.49493,0.85832,17.9079,0.02764
0.21975,0.53916,0.4944,0.85735,17.87116,0.02766
0.2205,0.53906,0.49388,0.85637,17.83491,0.02769
0.22125,0.53896,0.49335,0.8554,17.79869,0.02772
0.222,0.53886,0.49283,0.85443,17.76259,0.02775
0.22275,0.53877,0.49231,0.85345,17.72688,0.02777
0.2235,0.53867,0.49178,0.85248,17.69091,0.0278
0.22425,0.53857,0.49126,0.8515,17.65572,0.02782
0.225,0.53847,0.49073,0.85053,17.62025,0.02785
0.22575,0.53838,0.49021,0.84955,17.58517,0.02788
0.2265,0.53828,0.48969,0.84858,17.55023,0.0279
0.22725,0.53818,0.48916,0.8476,17.51523,0.02793
0.228,0.53808,0.48864,0.84662,17.48081,0.02795
0.22875,0.53799,0.48811,0.84565,17.44612,0.02798
0.2295,0.53789,0.48759,0.84467,17.41196,0.028
0.23025,0.53779,0.48707,0.8437,17.3778,0.02803
0.231,0.53769,0.48654,0.84272,17.34366,0.02805
0.23175,0.5376,0.48602,0.84174,17.31003,0.02808
0.2325,0.5375,0.4855,0.84077,17.27614,0.0281
0.23325,0.5374,0.48497,0.83979,17.24279,0.02813
0.234,0.5373,0.48445,0.83882,17.20943,0.02815
0.23475,0.53721,0.48393,0.83784,17.17605,0.02817
0.2355,0.53711,0.4834,0.83687,17.14322,0.0282
0.23625,0.53701,0.48288,0.83589,17.11015,0.02822
0.237,0.53692,0.48236,0.83492,17.0775,0.02825
0.23775,0.53682,0.48184,0.83394,17.04496,0.02827
0.2385,0.53672,0.48132,0.83297,17.01224,0.02829
0.23925,0.53663,0.48079,0.83199,16.98023,0.02831
0.24,0.53653,0.48027,0.83102,16.94798,0.02834
0.24075,0.53643,0.47975,0.83004,16.91593,0.02836
0.2415,0.53633,0.47923,0.82907,16.88422,0.02838
0.24225,0.53624,0.47871,0.8281,16.85228,0.02841
0.243,0.53614,0.47819,0.82712,16.82087,0.02843
0.24375,0.53604,0.47767,0.82615,16.78946,0.02845
0.2445,0.53595,0.47715,0.82518,16.7579,0.02847
0.24525,0.53585,0.47663,0.8242,16.72703,0.02849
0.246,0.53575,0.47611,0.82323,16.69594,0.02852
0.24675,0.53566,0.47559,0.82226,16.66496,0.02854
0.2475,0.53556,0.47507,0.82129,16.63441,0.02856
0.24825,0.53546,0.47455,0.82032,16.60363,0.02858
0.249,0.53536,0.47403,0.81935,16.57321,0.0286
0.24975,0.53527,0.47351,0.81838,16.54297,0.02862
0.2505,0.53517,0.473,0.81741,16.51252,0.02864
0.25125,0.53507,0.47248,0.81644,16.48263,0.02867
0.252,0.53498,0.47196,0.81547,16.45272,0.02869
0.25275,0.53488,0.47145,0.81451,16.42259,0.02871
0.2535,0.53478,0.47093,0.81354,16.39319,0.02873
0.25425,0.53469,0.47041,0.81257,16.36362,0.02875
0.255,0.53459,0.4699,0.81161,16.33393,0.02877
0.25575,0.53449,0.46938,0.81064,16.30489,0.02879
0.2565,0.5344,0.46887,0.80968,16.27565,0.02881
0.25725,0.5343,0.46835,0.80871,16.24641,0.02883
0.258,0.5342,0.46784,0.80775,16.2177,0.02885
0.25875,0.53411,0.46733,0.80678,16.18881,0.02887
0.2595,0.53401,0.46681,0.80582,16.15996,0.02889
0.26025,0.53391,0.4663,0.80486,16.13161,0.02891
0.261,0.53382,0.46579,0.8039,16.10305,0.02893
0.26175,0.53372,0.46528,0.80294,16.07459,0.02894
0.2625,0.53362,0.46477,0.80198,16.04658,0.02896
0.26325,0.53352,0.46426,0.80102,16.01838,0.02898
0.264,0.53343,0.46375,0.80006,15.99026,0.029
0.26475,0.53333,0.46324,0.7991,15.9626,0.02902
0.2655,0.53323,0.46273,0.79815,15.93475,0.02904
0.26625,0.53314,0.46222,0.79719,15.90694,0.02906
0.267,0.53304,0.46171,0.79623,15.87964,0.02908
0.26775,0.53294,0.4612,0.79528,15.85215,0.02909
0.2685,0.53285,0.46069,0.79433,15.82463,0.02911
0.26925,0.53275,0.46019,0.79337,15.79768,0.02913
0.27,0.53265,0.45968,0.79242,15.77055,0.02915
0.27075,0.53255,0.45918,0.79147,15.74329,0.02917
0.2715,0.53246,0.45867,0.79052,15.7167,0.02918
0.27225,0.53236,0.45817,0.78957,15.68994,0.0292
0.273,0.53226,0.45766,0.78862,15.663,0.02922
0.27375,0.53217,0.45716,0.78767,15.63667,0.02924
0.2745,0.53207,0.45665,0.78672,15.61028,0.02925
0.27525,0.53197,0.45615,0.78577,15.58371,0.02927
0.276,0.53187,0.45565,0.78483,15.55757,0.02929
0.27675,0.53178,0.45515,0.78388,15.53155,0.0293
0.2775,0.53168,0.45465,0.78294,15.50536,0.02932
0.27825,0.53158,0.45415,0.782,15.47938,0.02934
0.279,0.53149,0.45365,0.78105,15.45373,0.02936
0.27975,0.53139,0.45315,0.78011,15.42791,0.02937
0.2805,0.53129,0.45265,0.77917,15.40206,0.02939
0.28125,0.53119,0.45215,0.77823,15.37678,0.0294
0.282,0.5311,0.45165,0.77729,15.35134,0.02942
0.28275,0.531,0.45116,0.77636,15.32574,0.02944
0.2835,0.5309,0.45066,0.77542,15.30069,0.02945
0.28425,0.5308,0.45016,0.77448,15.27563,0.02947
0.285,0.53071,0.44967,0.77355,15.25041,0.02949
0.28575,0.53061,0.44917,0.77261,15.22542,0.0295
0.2865,0.53051,0.44868,0.77168,15.20075,0.02952
0.28725,0.53041,0.44819,0.77075,15.17591,0.02953
0.288,0.53032,0.44769,0.76982,15.15096,0.02955
0.28875,0.53022,0.4472,0.76889,15.12666,0.02956
0.2895,0.53012,0.44671,0.76796,15.10222,0.02958
0.29025,0.53002,0.44622,0.76703,15.07762,0.02959
0.291,0.52993,0.44573,0.7661,15.05335,0.02961
0.29175,0.52983,0.44524,0.76518,15.02929,0.02962
0.2925,0.52973,0.44475,0.76425,15.00508,0.02964
0.29325,0.52963,0.44426,0.76333,14.98079,0.02966
0.294,0.52953,0.44377,0.7624,14.95712,0.02967
0.29475,0.52944,0.44329,0.76148,14.9333,0.02968
0.2955,0.52934,0.4428,0.76056,14.90933,0.0297
0.29625,0.52924,0.44231,0.75964,14.88566,0.02971
0.297,0.52914,0.44183,0.75872,14.86223,0.02973
0.29775,0.52904,0.44134,0.7578,14.83866,0.02974
0.2985,0.52895,0.44086,0.75689,14.81494,0.02976
0.29925,0.52885,0.44038,0.75597,14.79185,0.02977
0.3,0.52875,0.43989,0.75506,14.76868,0.02979
0.30075,0.52865,0.43941,0.75414,14.74536,0.0298
0.3015,0.52855,0.43893,0.75323,14.72214,0.02981
0.30225,0.52845,0.43845,0.75232,14.69936,0.02983
0.303,0.52836,0.43797,0.75141,14.67644,0.02984
0.30375,0.52826,0.43749,0.7505,14.65339,0.02986
0.3045,0.52816,0.43701,0.74959,14.63067,0.02987
0.30525,0.52806,0.43653,0.74868,14.60815,0.02988
0.306,0.52796,0.43606,0.74778,14.5855,0.0299
0.30675,0.52786,0.43558,0.74687,14.56271,0.02991
0.3075,0.52776,0.4351,0.74597,14.54047,0.02992
0.30825,0.52767,0.43463,0.74507,14.51822,0.02994
0.309,0.52757,0.43415,0.74417,14.49583,0.02995
