phi0,omega,M,Q,R_eff,C_eff
0,1.044465936,0,0,,0
0.0006,1.044209457,0.049670827,0.047578979,183.2992694,0.000270982
0.0009,1.044025843,0.060886789,0.058407466,148.8822469,0.000408959
0.0012,1.043834693,0.070520961,0.067524737,130.1080564,0.000542018
0.0015,1.043638405,0.078978435,0.075644207,116.3683675,0.000678693
0.0018,1.043438662,0.086661819,0.083009135,106.2199209,0.000815872
0.0021,1.043235935,0.093762566,0.089817236,98.33209357,0.00095353
0.0024,1.043030791,0.100404314,0.096186649,91.97319864,0.001091669
0.0027,1.04282356,0.106673259,0.102199944,86.70564593,0.001230292
0.003,1.042614503,0.112631525,0.107916513,82.24896674,0.001369397
0.0033,1.04240381,0.118326172,0.113381379,78.41434399,0.001508986
0.0036,1.042191626,0.123793674,0.118629443,75.06921699,0.00164906
0.0039,1.041978068,0.129062982,0.123688406,72.11764724,0.001789617
0.0042,1.041763228,0.134157531,0.128580689,69.48800317,0.001930657
0.0045,1.041547185,0.139096597,0.133324736,67.1255834,0.002072185
0.0048,1.041330003,0.143896264,0.137935933,64.98804832,0.002214196
0.0051,1.041111735,0.148570109,0.142427269,63.04171821,0.002356695
0.0054,1.040892429,0.153129717,0.146809829,61.25980015,0.002499677
0.0057,1.040672123,0.157585068,0.151093158,59.62022422,0.002643148
0.006,1.040450854,0.161944824,0.155285544,58.10501118,0.002787106
0.0063,1.040228649,0.166216564,0.159394237,56.69911493,0.002931555
0.0066,1.040005537,0.170406963,0.163425622,55.39015198,0.003076485
0.0069,1.03978154,0.17452193,0.167385352,54.16735144,0.003221903
0.0072,1.03955668,0.17856673,0.171278464,53.02165163,0.003367808
0.0075,1.039330975,0.182546076,0.175109465,51.94515622,0.003514208
0.0078,1.039104443,0.186464203,0.178882409,50.93135522,0.003661089
0.0081,1.038877097,0.190324937,0.182600953,49.97421786,0.003808463
0.0084,1.038648952,0.194131744,0.186268414,49.06856198,0.003956337
0.0087,1.03842002,0.197887776,0.189887809,48.21020574,0.004104686
0.009,1.038190313,0.20159591,0.193461888,47.39506097,0.004253522
0.0093,1.037959841,0.205258779,0.196993172,46.619476,0.004402855
0.0096,1.037728614,0.208878801,0.200483972,45.88042135,0.004552678
0.0099,1.037496641,0.212458199,0.203936417,45.17506591,0.004702997
0.0102,1.037263928,0.215999025,0.20735247,44.50110603,0.00485379
0.0105,1.037030485,0.219503178,0.210733948,43.855993,0.00500509
0.0108,1.036796318,0.222972416,0.214082534,43.23795872,0.005156867
0.0111,1.036561434,0.226408373,0.21739979,42.64493988,0.00530915
0.0114,1.036325839,0.229812569,0.220687171,42.0755411,0.005461904
0.0117,1.036089537,0.233186421,0.223946035,41.52786678,0.005615179
