phi0,omega,M,Q,R_eff,C_eff
1.374,0.86534,0.23779,0.17121,3.57964,0.06643
1.375,0.86554,0.23782,0.17124,3.5823,0.06639
1.376,0.86573,0.23785,0.17127,3.58492,0.06635
1.377,0.86592,0.23788,0.17131,3.58751,0.06631
1.378,0.86611,0.23791,0.17134,3.59006,0.06627
1.379,0.86629,0.23794,0.17137,3.59258,0.06623
1.38,0.86647,0.23797,0.17141,3.59508,0.06619
1.381,0.86664,0.23801,0.17144,3.59754,0.06616
1.382,0.86682,0.23804,0.17148,3.59997,0.06612
1.383,0.86699,0.23808,0.17152,3.60244,0.06609
1.384,0.86716,0.23811,0.17156,3.60513,0.06605
1.385,0.86732,0.23815,0.17159,3.60779,0.06601
1.386,0.86748,0.23818,0.17163,3.61042,0.06597
1.387,0.86764,0.23822,0.17167,3.613,0.06593
1.388,0.8678,0.23826,0.17171,3.61556,0.0659
1.389,0.86795,0.2383,0.17176,3.61808,0.06586
1.39,0.8681,0.23834,0.1718,3.62057,0.06583
1.391,0.86825,0.23838,0.17184,3.62302,0.06579
1.392,0.86839,0.23842,0.17188,3.62544,0.06576
1.393,0.86854,0.23846,0.17193,3.62783,0.06573
1.394,0.86867,0.2385,0.17197,3.63019,0.0657
1.395,0.86881,0.23854,0.17202,3.63251,0.06567
1.396,0.86894,0.23858,0.17206,3.6348,0.06564
1.397,0.86908,0.23862,0.17211,3.63706,0.06561
1.398,0.8692,0.23867,0.17216,3.63929,0.06558
1.399,0.86933,0.23871,0.1722,3.64149,0.06555
1.4,0.86945,0.23876,0.17225,3.64366,0.06553
1.401,0.86957,0.2388,0.1723,3.64579,0.0655
1.402,0.86969,0.23885,0.17235,3.6479,0.06548
1.403,0.86981,0.23889,0.1724,3.64997,0.06545
1.404,0.86992,0.23894,0.17245,3.65202,0.06543
1.405,0.87003,0.23899,0.1725,3.65404,0.0654
1.406,0.87014,0.23903,0.17255,3.65603,0.06538
1.407,0.87025,0.23908,0.1726,3.65798,0.06536
1.408,0.87035,0.23913,0.17265,3.65991,0.06534
1.409,0.87045,0.23918,0.1727,3.66182,0.06532
1.41,0.87055,0.23923,0.17275,3.66369,0.0653
1.411,0.87065,0.23928,0.17281,3.66553,0.06528
1.412,0.87074,0.23933,0.17286,3.66735,0.06526
1.413,0.87083,0.23938,0.17291,3.66914,0.06524
1.414,0.87092,0.23943,0.17297,3.67091,0.06522
1.415,0.87101,0.23948,0.17302,3.67264,0.06521
1.416,0.87109,0.23953,0.17308,3.67435,0.06519
1.417,0.87118,0.23958,0.17313,3.67603,0.06517
1.418,0.87126,0.23963,0.17319,3.67769,0.06516
1.419,0.87133,0.23968,0.17324,3.67932,0.06514
1.42,0.87141,0.23973,0.1733,3.68092,0.06513
1.421,0.87148,0.23979,0.17335,3.6825,0.06512
1.422,0.87156,0.23984,0.17341,3.68406,0.0651
1.423,0.87163,0.23989,0.17347,3.68558,0.06509
1.424,0.87169,0.23995,0.17352,3.68709,0.06508
1.425,0.87176,0.24,0.17358,3.68856,0.06507
1.426,0.87182,0.24005,0.17364,3.69002,0.06506
1.427,0.87188,0.24011,0.17369,3.69145,0.06504
1.428,0.87194,0.24016,0.17375,3.69285,0.06503
1.429,0.872,0.24022,0.17381,3.69423,0.06503
1.43,0.87206,0.24027,0.17387,3.69559,0.06502
1.431,0.87211,0.24033,0.17393,3.69693,0.06501
1.432,0.87216,0.24038,0.17398,3.69824,0.065
1.433,0.87221,0.24044,0.17404,3.69953,0.06499
1.434,0.87226,0.24049,0.1741,3.70079,0.06498
1.435,0.8723,0.24055,0.17416,3.70206,0.06498
1.436,0.87235,0.24061,0.17422,3.70344,0.06497
1.437,0.87239,0.24066,0.17428,3.7048,0.06496
1.438,0.87243,0.24072,0.17434,3.70614,0.06495
1.439,0.87247,0.24078,0.1744,3.70745,0.06494
1.44,0.8725,0.24083,0.17446,3.70873,0.06494
1.441,0.87254,0.24089,0.17452,3.70999,0.06493
1.442,0.87257,0.24095,0.17458,3.71123,0.06492
1.443,0.8726,0.241,0.17464,3.71244,0.06492
1.444,0.87263,0.24106,0.1747,3.71363,0.06491
1.445,0.87266,0.24112,0.17476,3.7148,0.06491
1.446,0.87269,0.24118,0.17482,3.71594,0.0649
1.447,0.87271,0.24123,0.17488,3.71706,0.0649
1.448,0.87273,0.24129,0.17494,3.71815,0.0649
1.449,0.87275,0.24135,0.175,3.71923,0.06489
1.45,0.87277,0.24141,0.17506,3.72028,0.06489
1.451,0.87279,0.24146,0.17512,3.72131,0.06489
1.452,0.87281,0.24152,0.17518,3.72231,0.06488
1.453,0.87282,0.24158,0.17524,3.7233,0.06488
1.454,0.87284,0.24164,0.1753,3.72426,0.06488
1.455,0.87285,0.2417,0.17536,3.7252,0.06488
1.456,0.87286,0.24175,0.17542,3.72612,0.06488
1.457,0.87287,0.24181,0.17548,3.72702,0.06488
1.458,0.87287,0.24187,0.17554,3.7279,0.06488
1.459,0.87288,0.24193,0.1756,3.72876,0.06488
1.46,0.87288,0.24199,0.17566,3.72959,0.06488
1.461,0.87288,0.24205,0.17572,3.73041,0.06488
1.462,0.87289,0.2421,0.17578,3.7312,0.06489
1.463,0.87288,0.24216,0.17584,3.73198,0.06489
1.464,0.87288,0.24222,0.1759,3.73274,0.06489
1.465,0.87288,0.24228,0.17596,3.73347,0.06489
1.466,0.87287,0.24234,0.17602,3.73419,0.0649
1.4665,0.87287,0.24237,0.17605,3.73454,0.0649
1.4673,0.87287,0.24241,0.1761,3.73509,0.0649
1.4683,0.87286,0.24247,0.17616,3.73577,0.06491
1.46858,0.87286,0.24249,0.17618,3.73595,0.06491
1.46958,0.87285,0.24254,0.17624,3.7366,0.06491
1.47058,0.87284,0.2426,0.1763,3.73723,0.06492
1.47063,0.87284,0.24261,0.1763,3.73726,0.06492
1.47163,0.87282,0.24266,0.17636,3.73787,0.06492
1.47263,0.87281,0.24272,0.17642,3.73846,0.06493
1.47363,0.8728,0.24278,0.17648,3.73904,0.06493
1.47391,0.87279,0.2428,0.1765,3.73919,0.06493
1.47491,0.87277,0.24285,0.17656,3.73975,0.06494
1.47591,0.87276,0.24291,0.17662,3.74028,0.06494
1.47691,0.87274,0.24297,0.17668,3.7408,0.06495
1.47791,0.87272,0.24303,0.17674,3.74129,0.06496
1.47891,0.8727,0.24309,0.1768,3.74177,0.06497
1.47915,0.87269,0.2431,0.17681,3.74189,0.06497
1.48015,0.87267,0.24316,0.17687,3.74235,0.06497
1.48115,0.87264,0.24321,0.17693,3.74279,0.06498
1.48215,0.87262,0.24327,0.17699,3.74322,0.06499
1.48315,0.87259,0.24333,0.17705,3.74362,0.065
1.48415,0.87257,0.24339,0.1771,3.74402,0.06501
1.48515,0.87254,0.24344,0.17716,3.74439,0.06502
1.48615,0.87251,0.2435,0.17722,3.74475,0.06502
1.48715,0.87248,0.24356,0.17728,3.7451,0.06503
1.48754,0.87246,0.24358,0.1773,3.74523,0.06504
1.48854,0.87243,0.24364,0.17736,3.74555,0.06505
1.48954,0.8724,0.24369,0.17742,3.74585,0.06506
1.49054,0.87236,0.24375,0.17748,3.74615,0.06507
1.49154,0.87233,0.24381,0.17753,3.74642,0.06508
1.49254,0.87229,0.24386,0.17759,3.74668,0.06509
1.49354,0.87225,0.24392,0.17765,3.74693,0.0651
1.49454,0.87222,0.24398,0.17771,3.74715,0.06511
1.49554,0.87218,0.24403,0.17776,3.74737,0.06512
1.49593,0.87216,0.24405,0.17778,3.74745,0.06513
1.49693,0.87212,0.24411,0.17784,3.74764,0.06514
1.49793,0.87208,0.24416,0.1779,3.74782,0.06515
1.49893,0.87204,0.24422,0.17795,3.74799,0.06516
1.49993,0.87199,0.24428,0.17801,3.74814,0.06517
1.50093,0.87195,0.24433,0.17807,3.74828,0.06518
