phi0,omega,M,Q,R_eff,C_eff
0,0.866025404,0,0,,0
0.001,0.86577,0.07007,0.0811,180.20023,0.00039
0.002,0.86535,0.09971,0.11518,131.40998,0.00076
0.003,0.86491,0.12152,0.1404,107.24093,0.00113
0.004,0.86445,0.13962,0.16135,92.7984,0.0015
0.005,0.86399,0.15533,0.17954,82.93403,0.00187
0.006,0.86353,0.16932,0.19575,75.64691,0.00224
0.007,0.86306,0.182,0.21044,69.97925,0.0026
0.008,0.86259,0.19361,0.22392,65.40728,0.00296
0.009,0.86212,0.20436,0.23639,61.61742,0.00332
0.01,0.86165,0.21437,0.24802,58.40929,0.00367
0.011,0.86118,0.22375,0.25891,55.64723,0.00402
0.012,0.86071,0.23257,0.26917,53.23619,0.00437
0.013,0.86024,0.24091,0.27887,51.10805,0.00471
0.014,0.85978,0.24881,0.28807,49.21071,0.00506
0.015,0.85931,0.25631,0.29681,47.50534,0.0054
0.016,0.85884,0.26346,0.30514,45.96129,0.00573
0.017,0.85838,0.27028,0.3131,44.55505,0.00607
0.018,0.85792,0.27681,0.32071,43.26697,0.0064
0.019,0.85746,0.28306,0.328,42.0809,0.00673
0.02,0.857,0.28905,0.335,40.98444,0.00705
0.021,0.85654,0.2948,0.34173,39.96699,0.00738
0.022,0.85608,0.30033,0.3482,39.01894,0.0077
0.023,0.85563,0.30566,0.35443,38.13275,0.00802
0.024,0.85517,0.31079,0.36043,37.30223,0.00833
0.025,0.85472,0.31573,0.36622,36.52196,0.00865
0.026,0.85427,0.32051,0.37182,35.78621,0.00896
0.027,0.85382,0.32512,0.37722,35.09158,0.00926
0.028,0.85338,0.32957,0.38245,34.43456,0.00957
0.029,0.85293,0.33388,0.3875,33.81122,0.00987
0.03,0.85249,0.33804,0.3924,33.21916,0.01018
0.031,0.85205,0.34207,0.39714,32.65557,0.01048
0.032,0.85161,0.34598,0.40173,32.11846,0.01077
0.033,0.85117,0.34977,0.40618,31.60558,0.01107
0.034,0.85073,0.35343,0.4105,31.1152,0.01136
0.035,0.8503,0.35699,0.41469,30.64609,0.01165
0.036,0.84987,0.36044,0.41875,30.19648,0.01194
0.037,0.84943,0.36379,0.4227,29.76485,0.01222
0.038,0.84901,0.36704,0.42654,29.35025,0.01251
0.039,0.84858,0.3702,0.43026,28.95162,0.01279
