,r,x,phi,psi,A,B,F_hydro,F_metric,F_aniso,F_zeta
0,1e-05,1.0650864497349633e-06,0.1651,0.0,0.824144188991275,1.0,-1.917080436855678e-06,2.2449706456840413e-07,0.00027403746938291777,2.774435732532758e-07
1,0.10003000200040008,0.010654059969758739,0.16496898073098487,-0.002618176127609176,0.8242246661052455,1.0001352662539982,-0.0005410873377641456,0.00015111567361061217,0.00027403746938291777,0.0001168580904246051
2,0.20005000400080017,0.021307054853067747,0.164576828277509,-0.005219053962008915,0.8244656207418987,1.000539853114275,-0.0010747184116777497,0.000299847256119038,0.0005440467464748519,0.00023264504063512614
3,0.30007000600120026,0.031960049736376756,0.16392609012650614,-0.0077860842083916255,0.8248657246648726,1.001210299041484,-0.0015937389223849158,0.00044390948887347613,0.00080616693292369,0.00034632695300703195
4,0.40009000800160033,0.04261304461968576,0.16302097492010859,-0.01030289751907723,0.8254227815224157,1.002140873521933,-0.002091318169294129,0.0005811356002866799,0.001056728680319412,0.00045688572327655044
5,0.5001100100020004,0.05326603950299476,0.16186729766568833,-0.012753776376542176,0.8261337524859296,1.0033236351353694,-0.0025611731023110207,0.0007095520159861719,0.0012923791822934594,0.0005633444825568167
6,0.6001300120024005,0.06391903438630377,0.1604724045701791,-0.015123851951527573,0.8269947914916065,1.0047485132159109,-0.0029977165289172547,0.0008274297066001614,0.0015101661645700818,0.0006647812527412363
7,0.7001500140028005,0.07457202926961277,0.15884507899435,-0.01739928417300306,0.8280012894501186,1.0064034133215138,-0.0033961783516539487,0.0009333253332330673,0.001707605126313564,0.0007603423451989275
8,0.8001700160032006,0.08522502415292177,0.15699543037756575,-0.019567421664909247,0.829147926636279,1.0082743465799517,-0.003752695972414205,0.0010261107842390769,0.001882727604943507,0.0008492552476955726
9,0.9001900180036007,0.09587801903623078,0.1549347682925224,-0.021616938725811302,0.8304287323353609,1.0103455827021797,-0.0040643716044735725,0.0011049903336687362,0.002034109309623902,0.0009308406608678737
10,1.000210020004001,0.1065310139195398,0.1526754640433062,-0.023537947111418985,0.831837150708929,1.0125998260408753,-0.004329295891373826,0.0011695053060691125,0.002160878054231598,0.0010045232824701512
11,1.100230022004401,0.11718400880284881,0.15023080241296832,-0.02532208100798594,0.8333661117529723,1.015018413532337,-0.004546538833756414,0.0012195267600865942,0.0022627024431305194,0.0010698409053678042
12,1.200250024004801,0.1278370036861578,0.14761482629541586,-0.02696255423905376,0.8350081061561144,1.0175815327149822,-0.004716110473559049,0.0012552372649164603,0.002339763157065116,0.0011264514009256545
13,1.3002700260052011,0.1384899985694668,0.1448421770091264,-0.028454189411810365,0.8367552628264722,1.020268457301063,-0.0048388950012735535,0.0012771033068954202,0.002392709401584632,0.001174137205813286
14,1.4002900280056012,0.14914299345277582,0.14192793308653465,-0.02979341936487435,0.8385994278428227,1.0230577970346846,-0.004916562878631028,0.0012858402052104202,0.0024226035841660074,0.0012128070150734193
15,1.5003100300060013,0.15979598833608483,0.13888745026493923,-0.03097826191091614,0.8405322435986518,1.0259277578495378,-0.004951466172955693,0.0012823716231785984,0.0024308575655775638,0.0012424945009288232
16,1.6003300320064013,0.17044898321939383,0.13573620527543878,-0.032008269460505265,0.8425452269456708,1.0288564076990043,-0.0049465225748771685,0.0012677858330986563,0.0024191638912949794,0.001263354015280652
17,1.7003500340068014,0.18110197810270282,0.13248964584027292,-0.03288445564953046,0.844629845205513,1.031821942923238,-0.004905093531823453,0.001243290836167929,0.002389425270296032,0.0012756533817932186
