phi0,omega,M,Q,R_eff,C_eff
0.121,0.55102,0.64195,1.1235,25.3945,0.02528
0.122,0.55085,0.6422,1.12396,25.27834,0.02541
0.123,0.55067,0.64244,1.12439,25.16344,0.02553
0.124,0.55049,0.64266,1.12479,25.05011,0.02565
0.125,0.55032,0.64286,1.12517,24.93855,0.02578
0.126,0.55014,0.64306,1.12552,24.82814,0.0259
0.127,0.54997,0.64323,1.12584,24.71883,0.02602
0.128,0.54979,0.64339,1.12614,24.61055,0.02614
0.129,0.54962,0.64354,1.12641,24.50376,0.02626
0.13,0.54945,0.64368,1.12666,24.39862,0.02638
0.131,0.54927,0.6438,1.12688,24.29439,0.0265
0.132,0.5491,0.64391,1.12708,24.19102,0.02662
0.133,0.54893,0.644,1.12725,24.08888,0.02673
0.134,0.54876,0.64409,1.1274,23.98849,0.02685
0.135,0.54859,0.64416,1.12753,23.88882,0.02696
0.136,0.54842,0.64421,1.12763,23.78982,0.02708
0.137,0.54825,0.64426,1.12772,23.69252,0.02719
0.138,0.54808,0.64429,1.12778,23.59631,0.0273
0.139,0.54791,0.64432,1.12782,23.50065,0.02742
0.14,0.54774,0.64433,1.12784,23.40611,0.02753
0.141,0.54758,0.64433,1.12784,23.31311,0.02764
0.142,0.54741,0.64431,1.12782,23.22052,0.02775
0.143,0.54724,0.64429,1.12778,23.12885,0.02786
0.144,0.54708,0.64426,1.12772,23.0388,0.02796
0.145,0.54691,0.64422,1.12764,22.94901,0.02807
0.146,0.54675,0.64416,1.12754,22.86029,0.02818
0.147,0.54658,0.6441,1.12743,22.7729,0.02828
0.148,0.54642,0.64403,1.12729,22.68565,0.02839
0.149,0.54625,0.64395,1.12714,22.59994,0.02849
0.15,0.54609,0.64385,1.12697,22.51495,0.0286
0.151,0.54592,0.64375,1.12679,22.4301,0.0287
0.152,0.54576,0.64364,1.12659,22.3473,0.0288
0.153,0.5456,0.64352,1.12637,22.26441,0.0289
0.154,0.54544,0.6434,1.12613,22.18269,0.029
0.155,0.54528,0.64326,1.12588,22.10184,0.0291
0.156,0.54511,0.64311,1.12561,22.02107,0.0292
0.157,0.54495,0.64296,1.12533,21.94218,0.0293
0.158,0.54479,0.6428,1.12504,21.863,0.0294
0.159,0.54463,0.64263,1.12472,21.78542,0.0295
0.16,0.54447,0.64245,1.1244,21.70803,0.0296
0.161,0.54431,0.64227,1.12406,21.6315,0.02969
0.162,0.54416,0.64208,1.1237,21.55584,0.02979
0.163,0.544,0.64188,1.12334,21.48038,0.02988
0.164,0.54384,0.64167,1.12295,21.40636,0.02998
0.165,0.54368,0.64146,1.12256,21.33201,0.03007
0.166,0.54352,0.64124,1.12215,21.25954,0.03016
0.167,0.54337,0.64101,1.12173,21.1864,0.03026
0.168,0.54321,0.64077,1.1213,21.11533,0.03035
0.169,0.54305,0.64053,1.12085,21.04358,0.03044
0.17,0.5429,0.64028,1.12039,20.97366,0.03053
0.171,0.54274,0.64003,1.11992,20.90322,0.03062
0.172,0.54259,0.63977,1.11944,20.83446,0.03071
0.173,0.54243,0.6395,1.11895,20.76524,0.0308
0.174,0.54228,0.63923,1.11845,20.69768,0.03088
0.175,0.54212,0.63895,1.11793,20.62959,0.03097
0.176,0.54197,0.63867,1.1174,20.56324,0.03106
0.177,0.54182,0.63838,1.11687,20.4962,0.03115
0.178,0.54166,0.63808,1.11632,20.43107,0.03123
0.179,0.54151,0.63778,1.11576,20.36509,0.03132
0.18,0.54136,0.63747,1.1152,20.30109,0.0314
0.181,0.5412,0.63716,1.11462,20.23637,0.03149
0.182,0.54105,0.63684,1.11403,20.17323,0.03157
0.183,0.5409,0.63652,1.11343,20.10978,0.03165
0.184,0.54075,0.6362,1.11283,20.0474,0.03173
0.185,0.5406,0.63586,1.11221,19.98524,0.03182
0.186,0.54045,0.63553,1.11159,19.92354,0.0319
0.187,0.5403,0.63519,1.11095,19.86266,0.03198
0.188,0.54015,0.63484,1.11031,19.80154,0.03206
0.189,0.54,0.63449,1.10966,19.74196,0.03214
0.19,0.53985,0.63413,1.109,19.68165,0.03222
0.191,0.5397,0.63377,1.10833,19.62306,0.0323
0.192,0.53955,0.63341,1.10765,19.56407,0.03238
0.193,0.5394,0.63304,1.10697,19.50586,0.03245
0.194,0.53925,0.63267,1.10628,19.4482,0.03253
0.195,0.53911,0.63229,1.10558,19.39029,0.03261
0.196,0.53896,0.63191,1.10487,19.33395,0.03268
0.197,0.53881,0.63153,1.10416,19.27694,0.03276
0.198,0.53866,0.63114,1.10343,19.22123,0.03284
0.199,0.53852,0.63075,1.1027,19.16557,0.03291
0.2,0.53837,0.63035,1.10197,19.10997,0.03299
0.201,0.53822,0.62995,1.10122,19.05565,0.03306
0.202,0.53808,0.62955,1.10047,19.0007,0.03313
0.203,0.53793,0.62915,1.09972,18.94707,0.03321
0.204,0.53779,0.62874,1.09895,18.89348,0.03328
0.205,0.53764,0.62832,1.09818,18.83976,0.03335
0.206,0.5375,0.62791,1.09741,18.78752,0.03342
0.207,0.53735,0.62749,1.09663,18.7347,0.03349
0.208,0.53721,0.62707,1.09584,18.68272,0.03356
0.209,0.53706,0.62664,1.09504,18.63127,0.03363
0.21,0.53692,0.62621,1.09424,18.57924,0.0337
0.211,0.53677,0.62578,1.09344,18.5289,0.03377
0.212,0.53663,0.62535,1.09263,18.47825,0.03384
0.213,0.53649,0.62491,1.09181,18.4275,0.03391
0.214,0.53634,0.62447,1.09099,18.37822,0.03398
0.215,0.5362,0.62403,1.09016,18.3284,0.03405
0.216,0.53606,0.62358,1.08932,18.27905,0.03411
0.217,0.53592,0.62313,1.08849,18.23061,0.03418
0.218,0.53577,0.62268,1.08764,18.18165,0.03425
0.219,0.53563,0.62223,1.0868,18.13359,0.03431
0.22,0.53549,0.62177,1.08594,18.08601,0.03438
0.221,0.53535,0.62132,1.08508,18.03793,0.03445
0.222,0.53521,0.62086,1.08422,17.99102,0.03451
0.223,0.53507,0.62039,1.08336,17.94432,0.03457
0.224,0.53492,0.61993,1.08248,17.89714,0.03464
0.225,0.53478,0.61946,1.08161,17.85127,0.0347
0.226,0.53464,0.61899,1.08073,17.80547,0.03476
0.227,0.5345,0.61852,1.07984,17.75921,0.03483
0.228,0.53436,0.61805,1.07896,17.71425,0.03489
0.229,0.53422,0.61757,1.07806,17.66937,0.03495
0.23,0.53408,0.6171,1.07717,17.62404,0.03501
0.231,0.53394,0.61662,1.07627,17.57987,0.03508
0.232,0.5338,0.61613,1.07536,17.53592,0.03514
0.233,0.53366,0.61565,1.07446,17.49154,0.0352
0.234,0.53353,0.61517,1.07354,17.44804,0.03526
0.235,0.53339,0.61468,1.07263,17.40503,0.03532
0.236,0.53325,0.61419,1.07171,17.3616,0.03538
0.237,0.53311,0.6137,1.07079,17.31865,0.03544
0.238,0.53297,0.61321,1.06986,17.27659,0.03549
0.239,0.53283,0.61272,1.06894,17.23413,0.03555
0.24,0.5327,0.61222,1.068,17.19161,0.03561
0.241,0.53256,0.61172,1.06707,17.15051,0.03567
0.242,0.53242,0.61123,1.06613,17.10902,0.03573
0.243,0.53228,0.61073,1.06519,17.06714,0.03578
0.244,0.53215,0.61023,1.06425,17.02667,0.03584
0.245,0.53201,0.60972,1.0633,16.98617,0.0359
0.246,0.53187,0.60922,1.06235,16.94528,0.03595
0.247,0.53174,0.60872,1.0614,16.90498,0.03601
0.248,0.5316,0.60821,1.06044,16.86546,0.03606
0.249,0.53146,0.6077,1.05949,16.82557,0.03612
0.25,0.53133,0.60719,1.05853,16.78532,0.03617
0.251,0.53119,0.60668,1.05756,16.74678,0.03623
0.252,0.53105,0.60617,1.0566,16.70789,0.03628
0.253,0.53092,0.60566,1.05563,16.66865,0.03634
0.254,0.53078,0.60515,1.05466,16.63002,0.03639
0.255,0.53065,0.60463,1.05369,16.59214,0.03644
0.256,0.53051,0.60412,1.05271,16.55391,0.03649
0.257,0.53038,0.6036,1.05174,16.51534,0.03655
0.258,0.53024,0.60308,1.05076,16.47819,0.0366
0.259,0.53011,0.60256,1.04978,16.44098,0.03665
0.26,0.52997,0.60204,1.0488,16.40344,0.0367
0.261,0.52984,0.60152,1.04781,16.36594,0.03675
0.262,0.5297,0.601,1.04682,16.32974,0.0368
0.263,0.52957,0.60048,1.04584,16.29323,0.03685
0.264,0.52943,0.59996,1.04485,16.25639,0.03691
0.265,0.5293,0.59943,1.04385,16.22007,0.03696
0.266,0.52917,0.59891,1.04286,16.18458,0.037
0.267,0.52903,0.59838,1.04186,16.14878,0.03705
0.268,0.5289,0.59786,1.04087,16.11267,0.0371
0.269,0.52877,0.59733,1.03987,16.07739,0.03715
0.27,0.52863,0.5968,1.03887,16.04261,0.0372
0.271,0.5285,0.59628,1.03787,16.00755,0.03725
0.272,0.52837,0.59575,1.03686,15.97218,0.0373
0.273,0.52823,0.59522,1.03586,15.93777,0.03735
0.274,0.5281,0.59469,1.03485,15.90374,0.03739
0.275,0.52797,0.59416,1.03385,15.86942,0.03744
0.276,0.52783,0.59363,1.03284,15.83482,0.03749
0.277,0.5277,0.5931,1.03183,15.80113,0.03754
0.278,0.52757,0.59256,1.03082,15.76785,0.03758
0.279,0.52744,0.59203,1.02981,15.7343,0.03763
0.28,0.5273,0.5915,1.02879,15.70046,0.03767
0.281,0.52717,0.59097,1.02778,15.66735,0.03772
0.282,0.52704,0.59043,1.02676,15.63484,0.03776
0.283,0.52691,0.5899,1.02575,15.60205,0.03781
0.284,0.52678,0.58936,1.02473,15.56901,0.03785
0.285,0.52664,0.58883,1.02371,15.53632,0.0379
0.286,0.52651,0.58829,1.02269,15.50458,0.03794
0.287,0.52638,0.58776,1.02167,15.47258,0.03799
0.288,0.52625,0.58722,1.02065,15.44032,0.03803
0.289,0.52612,0.58669,1.01963,15.40791,0.03808
0.29,0.52599,0.58615,1.01861,15.37695,0.03812
0.291,0.52586,0.58561,1.01759,15.34574,0.03816
0.292,0.52573,0.58508,1.01656,15.31429,0.0382
0.293,0.52559,0.58454,1.01554,15.28259,0.03825
0.294,0.52546,0.584,1.01451,15.25183,0.03829
0.295,0.52533,0.58346,1.01349,15.22142,0.03833
0.296,0.5252,0.58293,1.01246,15.19078,0.03837
0.297,0.52507,0.58239,1.01143,15.1599,0.03842
0.298,0.52494,0.58185,1.01041,15.12909,0.03846
0.299,0.52481,0.58131,1.00938,15.09949,0.0385
0.3,0.52468,0.58078,1.00835,15.06965,0.03854
0.301,0.52455,0.58024,1.00732,15.03959,0.03858
0.302,0.52442,0.5797,1.00629,15.0093,0.03862
0.303,0.52429,0.57916,1.00526,14.9798,0.03866
0.304,0.52416,0.57862,1.00423,14.95079,0.0387
0.305,0.52403,0.57808,1.0032,14.92155,0.03874
0.306,0.5239,0.57754,1.00217,14.8921,0.03878
0.307,0.52377,0.57701,1.00114,14.86242,0.03882
0.308,0.52364,0.57647,1.00011,14.83404,0.03886
0.309,0.52351,0.57593,0.99908,14.80563,0.0389
0.31,0.52338,0.57539,0.99805,14.77701,0.03894
0.311,0.52325,0.57485,0.99702,14.74818,0.03898
0.312,0.52312,0.57431,0.99599,14.71928,0.03902
0.313,0.52299,0.57378,0.99495,14.69169,0.03905
0.314,0.52286,0.57324,0.99392,14.66391,0.03909
0.315,0.52273,0.5727,0.99289,14.63592,0.03913
0.316,0.5226,0.57216,0.99186,14.60772,0.03917
0.317,0.52247,0.57162,0.99083,14.5796,0.03921
0.318,0.52234,0.57109,0.98979,14.55264,0.03924
0.319,0.52222,0.57055,0.98876,14.52549,0.03928
0.32,0.52209,0.57001,0.98773,14.49815,0.03932
0.321,0.52196,0.56947,0.9867,14.47061,0.03935
0.322,0.52183,0.56894,0.98567,14.44308,0.03939
0.323,0.5217,0.5684,0.98463,14.41677,0.03943
0.324,0.52157,0.56786,0.9836,14.39027,0.03946
0.325,0.52144,0.56733,0.98257,14.36358,0.0395
0.326,0.52131,0.56679,0.98154,14.33671,0.03953
0.327,0.52118,0.56625,0.98051,14.30964,0.03957
0.328,0.52105,0.56572,0.97948,14.28394,0.03961
0.329,0.52093,0.56518,0.97845,14.2581,0.03964
0.33,0.5208,0.56465,0.97741,14.23208,0.03967
0.331,0.52067,0.56411,0.97638,14.20588,0.03971
0.332,0.52054,0.56358,0.97535,14.1795,0.03975
0.333,0.52041,0.56304,0.97432,14.15402,0.03978
0.334,0.52028,0.56251,0.9733,14.12885,0.03981
0.335,0.52016,0.56197,0.97227,14.10351,0.03985
0.336,0.52003,0.56144,0.97124,14.078,0.03988
0.337,0.5199,0.56091,0.97021,14.0523,0.03992
0.338,0.51977,0.56037,0.96918,14.02687,0.03995
0.339,0.51964,0.55984,0.96815,14.00238,0.03998
0.34,0.51951,0.55931,0.96712,13.97772,0.04001
0.341,0.51939,0.55878,0.9661,13.9529,0.04005
0.342,0.51926,0.55824,0.96507,13.92791,0.04008
0.343,0.51913,0.55771,0.96405,13.90274,0.04012
0.344,0.519,0.55718,0.96302,13.87854,0.04015
0.345,0.51887,0.55665,0.96199,13.85457,0.04018
0.346,0.51874,0.55612,0.96097,13.83044,0.04021
0.347,0.51862,0.55559,0.95995,13.80615,0.04024
0.348,0.51849,0.55506,0.95892,13.7817,0.04028
0.349,0.51836,0.55453,0.9579,13.75718,0.04031
0.35,0.51823,0.554,0.95688,13.7339,0.04034
0.351,0.5181,0.55347,0.95585,13.71047,0.04037
