phi0,omega,M,Q,R_eff,C_eff
0,1.1094,0,0,,0
0.0003,1.109377471,0.008952227,0.010352029,140.1009459,6.39E-05
0.0006,1.109093437,0.048602132,0.043816893,165.6608373,0.000293383
0.0009,1.108883811,0.05939039,0.053511483,135.5893549,0.000438017
0.0012,1.108661238,0.068563211,0.061821507,117.4116326,0.000583956
0.0015,1.108434663,0.07661099,0.069070752,105.1743603,0.000728419
0.0018,1.108206634,0.08384379,0.075617813,95.80628208,0.000875139
0.0021,1.107974894,0.090507459,0.081627202,88.69054237,0.001020486
0.0024,1.107741271,0.096687828,0.087207991,82.94223601,0.001165725
0.0027,1.107506041,0.102480109,0.092439579,78.17962754,0.001310829
0.003,1.107269486,0.107946831,0.097378287,74.14965679,0.001455797
0.0033,1.10703182,0.113135232,0.102066663,70.68179293,0.001600628
0.0036,1.106793211,0.118082039,0.106537783,67.65614064,0.001745326
0.0039,1.106553791,0.12281648,0.110817967,64.98620675,0.001889885
0.0042,1.106313668,0.127362271,0.114928571,62.60704612,0.002034312
0.0045,1.10607293,0.131738973,0.118887205,60.4694488,0.002178604
0.0048,1.105831652,0.135962944,0.122708598,58.53511297,0.002322759
0.0051,1.105589897,0.140048033,0.126405215,56.7736503,0.002466779
0.0054,1.105347718,0.144006086,0.12998772,55.1606492,0.002610667
0.0057,1.105105162,0.147847334,0.13346532,53.67643529,0.002754418
0.006,1.104862269,0.151580681,0.136846029,52.304684,0.002898033
0.0063,1.104619075,0.155213939,0.140136877,51.03165195,0.003041523
0.0066,1.104375611,0.158754005,0.143344069,49.84641923,0.003184863
0.0069,1.104131905,0.162207004,0.146473115,48.73890671,0.003328081
0.0072,1.103887982,0.165578406,0.149528938,47.70110062,0.003471165
0.0075,1.103643864,0.168873122,0.152515953,46.72610674,0.003614106
0.0078,1.103399571,0.172095578,0.155438143,45.80768971,0.003756915
0.0081,1.103155122,0.175249783,0.158299111,44.94055212,0.003899591
0.0084,1.102910532,0.178339378,0.161102133,44.11996036,0.004042147
0.0087,1.102665818,0.181367687,0.163850198,43.34219004,0.004184553
0.009,1.102420992,0.184337751,0.16654604,42.60345852,0.004326826
0.0093,1.102176068,0.187252362,0.169192167,41.90057314,0.004468969
0.0096,1.101931057,0.19011409,0.171790892,41.23061379,0.004610993
0.0099,1.101685969,0.192925308,0.174344345,40.59142538,0.004752859
0.0102,1.101440816,0.195688212,0.176854502,39.9803966,0.004894604
0.0105,1.101195605,0.198404839,0.179323193,39.39553339,0.005036227
0.0108,1.100950347,0.201077084,0.181752119,38.8352796,0.005177691
0.0111,1.100705048,0.203706711,0.184142867,38.29768814,0.005319034
0.0114,1.100459716,0.206295369,0.186496917,37.78131026,0.005460249
0.0117,1.100214358,0.208844598,0.188815653,37.28467332,0.005601353
0.012,1.099968981,0.211355843,0.191100372,36.80697818,0.005742276
0.0123,1.09972359,0.21383046,0.193352293,36.34655441,0.005883101
0.0126,1.099478192,0.216269722,0.195572558,35.90259168,0.006023791
0.0129,1.099232792,0.21867483,0.197762246,35.4741926,0.006164336
0.0132,1.098987395,0.221046916,0.199922372,35.06038509,0.006304749
0.0135,1.098742006,0.223387047,0.202053895,34.66013572,0.006445071
0.0138,1.09849663,0.225696233,0.204157722,34.2732889,0.006585193
0.0141,1.09825127,0.227975432,0.206234712,33.89855132,0.006725226
0.0144,1.098005931,0.230225549,0.208285677,33.53546953,0.006865136
0.0147,1.097760617,0.232447445,0.21031139,33.18354222,0.007004902
0.015,1.097515331,0.234641936,0.212312583,32.84222535,0.00714452
0.0153,1.097270077,0.236809801,0.214289954,32.51093774,0.007284004
0.0156,1.097024858,0.238951777,0.216244167,32.18906694,0.007423383
0.0159,1.096779678,0.241068572,0.218175853,31.87628035,0.007562632
0.0162,1.096534539,0.243160856,0.220085615,31.57226589,0.007701723
0.0165,1.096289444,0.245229272,0.22197403,31.27645822,0.007840698
0.0168,1.096044396,0.247274434,0.223841647,30.98836581,0.007979589
0.0171,1.095799398,0.249296927,0.225688991,30.70811183,0.008118276
0.0174,1.095554453,0.251297313,0.227516567,30.4350298,0.008256845
0.0177,1.095309561,0.253276131,0.229324857,30.16881949,0.008395295
0.018,1.094307178,0.255233895,0.231114321,29.90926624,0.008533606
0.0183,1.094819952,0.2571711,0.232885404,29.65591822,0.008671831
0.0186,1.094575238,0.259088221,0.234638531,29.40864094,0.008809935
0.0189,1.094330587,0.260985714,0.23637411,29.16750411,0.008947825
0.0192,1.094086001,0.262864017,0.238092534,28.93192121,0.009085605
0.0195,1.093841483,0.264723552,0.239794181,28.7015144,0.00922333
0.0198,1.093597033,0.266564724,0.241479414,28.47660288,0.009360833
0.0201,1.092820711,0.268387925,0.243148583,28.25709011,0.009498074
0.0204,1.093108347,0.270193531,0.244802025,28.04137471,0.009635531
0.0207,1.092864114,0.271981905,0.246440066,27.8306318,0.009772754
0.021,1.092619957,0.273753397,0.248063018,27.62476289,0.00990971
0.0213,1.092375876,0.275508347,0.249671186,27.42298498,0.010046621
0.0216,1.092131874,0.277247079,0.25126486,27.22523493,0.01018346
0.0219,1.091887951,0.27896991,0.252844323,27.03182025,0.010320056
0.0222,1.0913935,0.280677145,0.254409849,26.84239643,0.010456486
0.0225,1.091400351,0.282369078,0.2559617,26.65642593,0.010592908
0.0228,1.091156676,0.284045995,0.257500133,26.47419873,0.010729163
0.0231,1.090913085,0.285708172,0.259025394,26.29549105,0.010865291
0.0234,1.09066958,0.287355877,0.260537723,26.12020057,0.011001289
0.0237,1.090426163,0.288989369,0.262037351,25.94821995,0.011137156
0.024,1.090182834,0.290608899,0.263524504,25.77943718,0.011272895
0.0243,1.089939594,0.292214711,0.264999398,25.61373608,0.011408516
0.0246,1.089696445,0.293807041,0.266462245,25.45099675,0.011544029
0.0249,1.089453386,0.295386118,0.267913251,25.29109605,0.011679451
0.0252,1.08921042,0.296952166,0.269352614,25.13423736,0.011814648
0.0255,1.088967548,0.298505399,0.270780527,24.98018058,0.011949689
0.0258,1.088724769,0.300046029,0.272197178,24.82864994,0.01208467
0.0261,1.088482086,0.30157426,0.27360275,24.67951137,0.01221962
0.0264,1.088239498,0.303090289,0.274997419,24.53327729,0.012354252
0.0267,1.087997007,0.304594311,0.276381359,24.38934639,0.012488826
0.027,1.087754613,0.306086511,0.277754736,24.24749938,0.012623426
0.0273,1.087512318,0.307567075,0.279117714,24.10849427,0.012757623
0.0276,1.087270122,0.309036178,0.280470452,23.97131902,0.012891914
0.0279,1.087028026,0.310493994,0.281813104,23.83659594,0.013025937
0.0282,1.08678603,0.311940693,0.283145821,23.70381727,0.013159935
0.0285,1.086544135,0.313376438,0.284468749,23.57325243,0.013293729
0.0288,1.086302342,0.314801389,0.285782033,23.44454284,0.013427491
0.0291,1.086060652,0.316215702,0.287085809,23.31802928,0.013560996
