phi0,omega,M,Q,R_eff,C_eff
0,1.08012345,0,0,,0
0.0003,1.080078683,0.01838021,0.023602497,236.8900674,7.76E-05
0.0006,1.07986787,0.048075353,0.046202536,179.7196839,0.000267502
0.0009,1.079650524,0.059927155,0.055480558,142.9797349,0.00041913
0.0012,1.07944962,0.069051516,0.063909131,123.4868138,0.000559181
0.0015,1.079236461,0.077128208,0.071438041,110.0061721,0.000701126
0.0018,1.079023647,0.084433857,0.078206005,100.4122198,0.000840872
0.0021,1.07880831,0.091136744,0.084420835,92.94192231,0.000980577
0.0024,1.078591004,0.097362794,0.090194858,86.91884134,0.001120158
0.0027,1.07837211,0.103198381,0.095607998,81.92870611,0.001259612
0.003,1.078151906,0.108706442,0.10071848,77.70629168,0.00139894
0.0033,1.077930602,0.113934521,0.10557029,74.07273405,0.001538144
0.0036,1.077708361,0.118919582,0.11019762,70.90261802,0.001677224
0.0039,1.077485314,0.12369104,0.11462768,68.10514089,0.001816178
0.0042,1.077261566,0.128272763,0.118882545,65.61251802,0.001955004
0.0045,1.077037203,0.132684437,0.122980418,63.37282114,0.002093712
0.0048,1.0768123,0.136942523,0.126936524,61.34621728,0.00223229
0.0051,1.076586916,0.141060957,0.130763747,59.50072454,0.002370744
0.0054,1.076361106,0.14505166,0.13447311,57.81087204,0.002509072
0.0057,1.076134914,0.148924925,0.138074129,56.25584899,0.002647279
0.006,1.07590838,0.152689714,0.141575087,54.81864706,0.002785361
0.0063,1.075681538,0.156353885,0.144983248,53.48498386,0.002923323
0.0066,1.075454421,0.159924379,0.148305027,52.24316889,0.003061154
0.0069,1.075227054,0.163407357,0.151546118,51.08300799,0.003198859
0.0072,1.074999462,0.166808323,0.154711607,49.99577651,0.003336448
0.0075,1.074771667,0.170132218,0.157806058,48.97433466,0.003473906
0.0078,1.074543689,0.173383494,0.160833586,48.01213217,0.003611243
0.0081,1.074315545,0.176566183,0.163797916,47.1036091,0.003748464
0.0084,1.074087251,0.17968395,0.166702432,46.24415009,0.00388555
0.0087,1.073858824,0.182740137,0.169550222,45.42916564,0.004022529
0.009,1.073630275,0.185737804,0.17234411,44.65531749,0.004159366
0.0093,1.073401617,0.188679758,0.175086691,43.91901301,0.004296084
0.0096,1.073172863,0.191568586,0.17778035,43.21731846,0.004432681
0.0099,1.072944021,0.194406672,0.180427293,42.54753329,0.004569164
0.0102,1.072715103,0.197196226,0.183029556,41.90752358,0.004705509
0.0105,1.072486117,0.199939298,0.185589033,41.29494312,0.004841738
0.0108,1.072257071,0.202637792,0.188107482,40.70785918,0.004977854
0.0111,1.072027974,0.205293482,0.19058654,40.14481641,0.005113823
0.0114,1.071798832,0.207908027,0.193027737,39.60392537,0.005249682
0.0117,1.071569653,0.210482976,0.195432503,39.08385161,0.005385421
0.012,1.071340443,0.213019781,0.197802177,38.58323077,0.005521046
